##,,,,,,,,,,
喜好品ID,消耗材料1,消耗材料1数量,消耗材料2,消耗材料2数量,消耗材料3,消耗材料3数量,消耗材料4,消耗材料4数量,材料种类,消耗铜币
4146,4173,10,,,,,,,1,5000
4147,4174,10,,,,,,,1,5000
4148,4175,10,,,,,,,1,5000
4149,4176,10,,,,,,,1,5000
4150,4177,10,,,,,,,1,5000
4151,4178,10,,,,,,,1,5000
4152,4179,10,,,,,,,1,5000
4153,4180,50,,,,,,,1,10000
4154,4181,50,,,,,,,1,10000
4155,4182,50,,,,,,,1,10000
4156,4183,50,,,,,,,1,10000
4157,4184,50,,,,,,,1,10000
4158,4185,50,,,,,,,1,10000
4159,4186,50,,,,,,,1,10000
4160,4187,50,,,,,,,1,10000
4161,4188,25,,,,,,,1,5000
4162,4189,25,,,,,,,1,5000
4163,4190,25,,,,,,,1,5000
4164,4191,25,,,,,,,1,5000
4165,4192,25,,,,,,,1,5000
4166,4193,25,,,,,,,1,5000
4167,4194,25,,,,,,,1,5000
4168,4195,25,,,,,,,1,5000
4169,4196,25,,,,,,,1,5000
4170,4197,25,,,,,,,1,5000
4171,4198,50,,,,,,,1,10000
4202,4218,20,,,,,,,1,5000
4203,4219,20,,,,,,,1,5000
4204,4220,20,,,,,,,1,5000
4205,4221,20,,,,,,,1,5000
4206,4222,10,,,,,,,1,3000
4207,4223,20,,,,,,,1,5000
4208,4224,50,,,,,,,1,10000
4209,4225,50,,,,,,,1,10000
4210,4226,25,,,,,,,1,5000
4211,4227,50,,,,,,,1,10000
4212,4228,25,,,,,,,1,5000
4213,4229,25,,,,,,,1,5000
4214,4230,25,,,,,,,1,5000
4215,4231,25,,,,,,,1,5000
4216,4232,50,,,,,,,1,10000
4217,4233,50,,,,,,,1,10000
