##,,,,,
物品ID,是武魂,品质,概率,数量,抽取类型
4164,,4,10,1,元宝
4165,,4,10,1,元宝
4166,,4,10,1,元宝
4167,,4,10,1,元宝
4168,,4,10,1,元宝
4169,,4,10,1,元宝
4170,,4,10,1,元宝
4202,,4,10,1,元宝
4203,,4,10,1,元宝
4204,,4,10,1,元宝
4205,,4,10,1,元宝
4207,,4,10,1,元宝
4210,,4,10,1,元宝
4212,,4,10,1,元宝
4213,,4,10,1,元宝
4214,,4,10,1,元宝
4215,,4,10,1,元宝
4071,,5,9,1,元宝
4072,,5,9,1,元宝
4073,,5,9,1,元宝
4074,,5,9,1,元宝
4075,,5,9,1,元宝
4076,,5,9,1,元宝
4077,,5,9,1,元宝
4078,,5,9,1,元宝
4079,,5,9,1,元宝
4080,,5,9,1,元宝
4081,,5,9,1,元宝
4082,,5,9,1,元宝
4083,,5,9,1,元宝
4096,,5,9,1,元宝
4097,,5,9,1,元宝
4098,,5,9,1,元宝
4099,,5,9,1,元宝
4100,,5,9,1,元宝
4121,,5,9,1,元宝
4122,,5,9,1,元宝
4123,,5,9,1,元宝
4153,,5,9,1,元宝
4154,,5,9,1,元宝
4155,,5,9,1,元宝
4156,,5,9,1,元宝
4157,,5,9,1,元宝
4158,,5,9,1,元宝
4159,,5,9,1,元宝
4160,,5,9,1,元宝
4171,,5,9,1,元宝
4208,,5,9,1,元宝
4216,,5,9,1,元宝
4217,,5,9,1,元宝
13001,1,3,10,2,元宝
13002,1,3,10,2,元宝
13003,1,3,10,2,元宝
13004,1,3,10,2,元宝
13005,1,3,10,2,元宝
13006,1,3,10,2,元宝
13007,1,3,10,2,元宝
13008,1,3,10,2,元宝
13009,1,3,10,2,元宝
13010,1,3,10,2,元宝
13011,1,3,10,2,元宝
13012,1,3,10,2,元宝
13013,1,3,10,2,元宝
13014,1,3,10,2,元宝
13015,1,3,10,2,元宝
13016,1,3,10,2,元宝
13017,1,3,10,2,元宝
13018,1,3,10,2,元宝
13019,1,3,10,2,元宝
13020,1,3,10,2,元宝
13021,1,3,10,2,元宝
13022,1,3,10,2,元宝
13023,1,3,10,2,元宝
13024,1,3,10,2,元宝
13025,1,3,10,2,元宝
13026,1,3,10,2,元宝
13027,1,3,10,2,元宝
13028,1,3,10,2,元宝
13030,1,3,10,2,元宝
13031,1,3,10,2,元宝
13032,1,3,10,2,元宝
13033,1,3,10,2,元宝
13001,1,3,15,3,元宝
13002,1,3,15,3,元宝
13003,1,3,15,3,元宝
13004,1,3,15,3,元宝
13005,1,3,15,3,元宝
13006,1,3,15,3,元宝
13007,1,3,15,3,元宝
13008,1,3,15,3,元宝
13009,1,3,15,3,元宝
13010,1,3,15,3,元宝
13011,1,3,15,3,元宝
13012,1,3,15,3,元宝
13013,1,3,15,3,元宝
13014,1,3,15,3,元宝
13015,1,3,15,3,元宝
13016,1,3,15,3,元宝
13017,1,3,15,3,元宝
13018,1,3,15,3,元宝
13019,1,3,15,3,元宝
13020,1,3,15,3,元宝
13021,1,3,15,3,元宝
13022,1,3,15,3,元宝
13023,1,3,15,3,元宝
13024,1,3,15,3,元宝
13025,1,3,15,3,元宝
13026,1,3,15,3,元宝
13027,1,3,15,3,元宝
13028,1,3,15,3,元宝
13030,1,3,15,3,元宝
13031,1,3,15,3,元宝
13032,1,3,15,3,元宝
13033,1,3,15,3,元宝
13001,1,3,20,4,元宝
13002,1,3,20,4,元宝
13003,1,3,20,4,元宝
13004,1,3,20,4,元宝
13005,1,3,20,4,元宝
13006,1,3,20,4,元宝
13007,1,3,20,4,元宝
13008,1,3,20,4,元宝
13009,1,3,20,4,元宝
13010,1,3,20,4,元宝
13011,1,3,20,4,元宝
13012,1,3,20,4,元宝
13013,1,3,20,4,元宝
13014,1,3,20,4,元宝
13015,1,3,20,4,元宝
13016,1,3,20,4,元宝
13017,1,3,20,4,元宝
13018,1,3,20,4,元宝
13019,1,3,20,4,元宝
13020,1,3,20,4,元宝
13021,1,3,20,4,元宝
13022,1,3,20,4,元宝
13023,1,3,20,4,元宝
13024,1,3,20,4,元宝
13025,1,3,20,4,元宝
13026,1,3,20,4,元宝
13027,1,3,20,4,元宝
13028,1,3,20,4,元宝
13030,1,3,20,4,元宝
13031,1,3,20,4,元宝
13032,1,3,20,4,元宝
13033,1,3,20,4,元宝
13001,1,3,16,5,元宝
13002,1,3,16,5,元宝
13003,1,3,16,5,元宝
13004,1,3,16,5,元宝
13005,1,3,16,5,元宝
13006,1,3,16,5,元宝
13007,1,3,16,5,元宝
13008,1,3,16,5,元宝
13009,1,3,16,5,元宝
13010,1,3,16,5,元宝
13011,1,3,16,5,元宝
13012,1,3,16,5,元宝
13013,1,3,16,5,元宝
13014,1,3,16,5,元宝
13015,1,3,16,5,元宝
13016,1,3,16,5,元宝
13017,1,3,16,5,元宝
13018,1,3,16,5,元宝
13019,1,3,16,5,元宝
13020,1,3,16,5,元宝
13021,1,3,16,5,元宝
13022,1,3,16,5,元宝
13023,1,3,16,5,元宝
13024,1,3,16,5,元宝
13025,1,3,16,5,元宝
13026,1,3,16,5,元宝
13027,1,3,16,5,元宝
13028,1,3,16,5,元宝
13030,1,3,16,5,元宝
13031,1,3,16,5,元宝
13032,1,3,16,5,元宝
13033,1,3,16,5,元宝
