##,,,,,,
关卡ID,名称,关卡类型,战力范围,怪物加成,宝箱ID,怪物组ID
108,第十二关,1,31#40,生命#16000#攻击#16000,108,0
109,第十三关,1,51#55,生命#16000#攻击#16000,109,0
110,第十四关,1,41#45,生命#16000#攻击#16000,110,0
111,第十五关,1,56#60,生命#16000#攻击#16000,111,0
112,第十六关,0,61#63,生命#16000#攻击#16000,112,1545
113,第一关,1,-131#-110,生命#17000#攻击#17000,113,0
114,第二关,1,-109#-90,生命#17000#攻击#17000,114,0
115,第三关,1,-89#-70,生命#17000#攻击#17000,115,0
116,第四关,1,-69#-50,生命#17000#攻击#17000,116,0
117,第五关,1,-49#-30,生命#17000#攻击#17000,117,0
118,第六关,1,-29#-10,生命#17000#攻击#17000,118,0
119,第七关,1,-9#10,生命#17000#攻击#17000,119,0
120,第八关,1,31#40,生命#17000#攻击#17000,120,0
121,第九关,1,11#20,生命#17000#攻击#17000,121,0
122,第十关,1,56#60,生命#17000#攻击#17000,122,0
123,第十一关,1,21#30,生命#17000#攻击#17000,123,0
124,第十二关,1,41#50,生命#17000#攻击#17000,124,0
125,第十三关,1,61#65,生命#17000#攻击#17000,125,0
126,第十四关,1,51#55,生命#17000#攻击#17000,126,0
127,第十五关,1,66#70,生命#17000#攻击#17000,127,0
128,第十六关,0,71#73,生命#17000#攻击#17000,128,1546
129,第一关,1,-121#-100,生命#18000#攻击#18000,129,0
130,第二关,1,-99#-80,生命#18000#攻击#18000,130,0
131,第三关,1,-79#-60,生命#18000#攻击#18000,131,0
132,第四关,1,-59#-40,生命#18000#攻击#18000,132,0
133,第五关,1,-39#-20,生命#18000#攻击#18000,133,0
134,第六关,1,-19#0,生命#18000#攻击#18000,134,0
135,第七关,1,1#20,生命#18000#攻击#18000,135,0
136,第八关,1,41#50,生命#18000#攻击#18000,136,0
137,第九关,1,21#30,生命#18000#攻击#18000,137,0
138,第十关,1,66#70,生命#18000#攻击#18000,138,0
139,第十一关,1,31#40,生命#18000#攻击#18000,139,0
140,第十二关,1,51#60,生命#18000#攻击#18000,140,0
141,第十三关,1,71#75,生命#18000#攻击#18000,141,0
142,第十四关,1,61#65,生命#18000#攻击#18000,142,0
143,第十五关,1,76#80,生命#18000#攻击#18000,143,0
144,第十六关,0,81#83,生命#18000#攻击#18000,144,1547
