##任务系统配置,,,,,,,,,,,,,,,,
任务ID,任务类型,任务名称,任务描述,接取条件1,接取条件2,接取条件3,接取条件4,完成条件,任务重置周期,可完成次数,奖励类型1,奖励类型2,奖励类型3,关联界面,关联界面2,任务图标
11023,1,无尽征战,完成副本第二十三章所有关卡,前置#11022,,,,通关副本章节#10023#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10023,renwu_022
11024,1,无尽征战,完成副本第二十四章所有关卡,前置#11023,,,,通关副本章节#10024#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10024,renwu_022
11025,1,无尽征战,完成副本第二十五章所有关卡,前置#11024,,,,通关副本章节#10025#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10025,renwu_022
11026,1,无尽征战,完成副本第二十六章所有关卡,前置#11025,,,,通关副本章节#10026#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10026,renwu_022
11027,1,无尽征战,完成副本第二十七章所有关卡,前置#11026,,,,通关副本章节#10027#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10027,renwu_022
11028,1,无尽征战,完成副本第二十八章所有关卡,前置#11027,,,,通关副本章节#10028#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10028,renwu_022
11029,1,无尽征战,完成副本第二十九章所有关卡,前置#11028,,,,通关副本章节#10029#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10029,renwu_022
11030,1,无尽征战,完成副本第三十章所有关卡,前置#11029,,,,通关副本章节#10030#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10030,renwu_022
11031,1,无尽征战,完成副本第三十一章所有关卡,前置#11030,,,,通关副本章节#10031#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10031,renwu_022
11032,1,无尽征战,完成副本第三十二章所有关卡,前置#11031,,,,通关副本章节#10032#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10032,renwu_022
11033,1,无尽征战,完成副本第三十三章所有关卡,前置#11032,,,,通关副本章节#10033#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10033,renwu_022
11034,1,无尽征战,完成副本第三十四章所有关卡,前置#11033,,,,通关副本章节#10034#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10034,renwu_022
11035,1,无尽征战,完成副本第三十五章所有关卡,前置#11034,,,,通关副本章节#10035#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10035,renwu_022
30001,3,新的伙伴1,主公等级达到5级,等级#4,,,,等级#5,永不重置,1,Item#13029#20,LifeAtt#1#15000,,Dungeon,,renwu_011
30002,3,新的伙伴2,主公等级达到10级,前置#30001,,,,等级#10,永不重置,1,Item#13013#20,,,Dungeon,,renwu_011
30003,3,新的伙伴3,主公等级达到15级,前置#30002,,,,等级#15,永不重置,1,Item#13006#10,,,Dungeon,,renwu_011
30004,3,升星之路,主公等级达到20级,前置#30003,,,,等级#20,永不重置,1,Item#13006#20,,,Dungeon,,renwu_011
30005,3,升星之路,主公等级达到25级,前置#30004,,,,等级#25,永不重置,1,Item#13006#20,,,Dungeon,,renwu_011
31001,3,英雄培养1,进行3次英雄升级,等级#3,,,,英雄升级次数#3,永不重置,1,LifeAtt#2#10,,,Hero,,renwu_015
31002,3,英雄培养2,进行10次英雄升级,前置#31001,,,,英雄升级次数#10,永不重置,1,LifeAtt#2#20,,,Hero,,renwu_015
31003,3,英雄培养3,进行20次英雄升级,前置#31002,,,,英雄升级次数#20,永不重置,1,LifeAtt#2#30,,,Hero,,renwu_015
32001,3,弱肉强食1,进行3次领地掠夺,等级#10,,,,掠夺次数#3,永不重置,1,LifeAtt#2#10,,,TerritoryHarry,,renwu_017
32002,3,弱肉强食2,进行5次领地掠夺,前置#32001,,,,掠夺次数#5,永不重置,1,LifeAtt#2#20,,,TerritoryHarry,,renwu_017
32003,3,弱肉强食3,进行10次领地掠夺,前置#32002,,,,掠夺次数#10,永不重置,1,LifeAtt#2#30,,,TerritoryHarry,,renwu_017
32004,3,弱肉强食4,进行20次领地掠夺,前置#32003,,,,掠夺次数#20,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_017
33001,3,阵容壮大1,上阵2个英雄,等级#2,,,,上阵英雄数#2,永不重置,1,LifeAtt#2#10,,,Ranks,,renwu_012
33002,3,阵容壮大2,上阵3个英雄,等级#5,前置#33001,,,上阵英雄数#3,永不重置,1,LifeAtt#2#20,,,Ranks,,renwu_012
33003,3,阵容壮大3,上阵4个英雄,等级#10,前置#33002,,,上阵英雄数#4,永不重置,1,LifeAtt#2#30,,,Ranks,,renwu_012
33004,3,阵容壮大4,上阵5个英雄,等级#15,前置#33003,,,上阵英雄数#5,永不重置,1,LifeAtt#2#50,,,Ranks,,renwu_012
34001,3,进阶之路1,装备一件喜好品,等级#4,,,,装备喜好品数量#1,永不重置,1,LifeAtt#2#10,,,Hero,,renwu_010
34002,3,进阶之路2,将1个英雄进阶至绿色+1,前置#34001,,,,英雄品质#2#1,永不重置,1,LifeAtt#2#10,,,Hero,,renwu_010
34003,3,进阶之路3,将2个英雄进阶至绿色+1,前置#34002,,,,英雄品质#2#2,永不重置,1,LifeAtt#2#20,,,Hero,,renwu_010
34004,3,进阶之路4,将5个英雄进阶至绿色+1,前置#34003,,,,英雄品质#2#5,永不重置,1,LifeAtt#2#20,,,Hero,,renwu_010
34005,3,进阶之路5,将1个英雄进阶至蓝色,前置#34004,,,,英雄品质#3#1,永不重置,1,LifeAtt#2#30,,,Hero,,renwu_010
34006,3,进阶之路6,将2个英雄进阶至蓝色,前置#34005,,,,英雄品质#3#2,永不重置,1,LifeAtt#2#30,,,Hero,,renwu_010
34007,3,进阶之路7,将5个英雄进阶至蓝色,前置#34006,,,,英雄品质#3#5,永不重置,1,LifeAtt#2#40,,,Hero,,renwu_010
34008,3,进阶之路8,将1个英雄进阶至蓝色+1,前置#34007,,,,英雄品质#4#1,永不重置,1,LifeAtt#2#40,,,Hero,,renwu_010
34009,3,进阶之路9,将2个英雄进阶至蓝色+1,前置#34008,,,,英雄品质#4#2,永不重置,1,LifeAtt#2#50,,,Hero,,renwu_010
34010,3,进阶之路10,将5个英雄进阶至蓝色+1,前置#34009,,,,英雄品质#4#5,永不重置,1,LifeAtt#2#50,,,Hero,,renwu_010
34011,3,进阶之路11,将1个英雄进阶至蓝色+2,前置#34010,,,,英雄品质#5#1,永不重置,1,LifeAtt#2#50,,,Hero,,renwu_010
34012,3,进阶之路12,将2个英雄进阶至蓝色+2,前置#34011,,,,英雄品质#5#2,永不重置,1,LifeAtt#2#50,,,Hero,,renwu_010
34013,3,进阶之路13,将5个英雄进阶至蓝色+2,前置#34012,,,,英雄品质#5#5,永不重置,1,LifeAtt#2#50,,,Hero,,renwu_010
35001,3,领地建设,在领地中将一个铜矿升级至1级,等级#6,,,,铜矿等级#1#1,永不重置,1,LifeAtt#2#10,,,TerritoryHarry,,renwu_018
35002,3,领地建设,在领地中将一个修为矿升级至1级,等级#6,前置#35001,,,修为矿等级#1#1,永不重置,1,LifeAtt#2#10,,,TerritoryHarry,,renwu_018
35003,3,领地建设,在领地中将一个铜矿升级至2级,等级#6,前置#35002,,,铜矿等级#2#1,永不重置,1,LifeAtt#2#10,,,TerritoryHarry,,renwu_018
35004,3,领地建设,在领地中将一个修为矿升级至2级,等级#6,前置#35003,,,修为矿等级#2#1,永不重置,1,LifeAtt#2#10,,,TerritoryHarry,,renwu_018
35005,3,领地建设,在领地中将一个铜矿升级至3级,等级#9,前置#35004,,,铜矿等级#3#1,永不重置,1,LifeAtt#2#10,,,TerritoryHarry,,renwu_018
35006,3,领地建设,在领地中将一个修为矿升级至3级,等级#9,前置#35005,,,修为矿等级#3#1,永不重置,1,LifeAtt#2#20,,,TerritoryHarry,,renwu_018
35007,3,领地建设,在领地中将一个铜矿升级至4级,等级#12,前置#35006,,,铜矿等级#4#1,永不重置,1,LifeAtt#2#20,,,TerritoryHarry,,renwu_018
35008,3,领地建设,在领地中将一个修为矿升级至4级,等级#12,前置#35007,,,修为矿等级#4#1,永不重置,1,LifeAtt#2#20,,,TerritoryHarry,,renwu_018
35009,3,领地建设,在领地中将一个铜矿升级至5级,等级#15,前置#35008,,,铜矿等级#5#1,永不重置,1,LifeAtt#2#20,,,TerritoryHarry,,renwu_018
35010,3,领地建设,在领地中将一个修为矿升级至5级,等级#15,前置#35009,,,修为矿等级#5#1,永不重置,1,LifeAtt#2#20,,,TerritoryHarry,,renwu_018
35011,3,领地建设,在领地中将一个铜矿升级至6级,等级#18,前置#35010,,,铜矿等级#6#1,永不重置,1,LifeAtt#2#30,,,TerritoryHarry,,renwu_018
35012,3,领地建设,在领地中将一个修为矿升级至6级,等级#18,前置#35011,,,修为矿等级#6#1,永不重置,1,LifeAtt#2#30,,,TerritoryHarry,,renwu_018
35013,3,领地建设,将武魂殿升级至2级,等级#20,前置#35012,,,武魂殿等级#2,永不重置,1,LifeAtt#2#30,,,TerritoryHarry,,renwu_018
35014,3,领地建设,将铁匠铺升级至2级,等级#20,前置#35013,,,铁匠铺等级#2,永不重置,1,LifeAtt#2#30,,,TerritoryHarry,,renwu_018
35015,3,领地建设,在领地中将一个铜矿升级至7级,等级#21,前置#35014,,,铜矿等级#7#1,永不重置,1,LifeAtt#2#30,,,TerritoryHarry,,renwu_018
35016,3,领地建设,在领地中将一个修为矿升级至7级,等级#21,前置#35015,,,修为矿等级#7#1,永不重置,1,LifeAtt#2#40,,,TerritoryHarry,,renwu_018
35017,3,领地建设,在领地中将一个铜矿升级至8级,等级#24,前置#35016,,,铜矿等级#8#1,永不重置,1,LifeAtt#2#40,,,TerritoryHarry,,renwu_018
35018,3,领地建设,在领地中将一个修为矿升级至8级,等级#24,前置#35017,,,修为矿等级#8#1,永不重置,1,LifeAtt#2#40,,,TerritoryHarry,,renwu_018
35019,3,领地建设,在领地中将一个铜矿升级至9级,等级#27,前置#35018,,,铜矿等级#9#1,永不重置,1,LifeAtt#2#40,,,TerritoryHarry,,renwu_018
35020,3,领地建设,在领地中将一个修为矿升级至9级,等级#27,前置#35019,,,修为矿等级#9#1,永不重置,1,LifeAtt#2#40,,,TerritoryHarry,,renwu_018
35021,3,领地建设,将武魂殿升级至3级,等级#30,前置#35020,,,武魂殿等级#3,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35022,3,领地建设,将铁匠铺升级至3级,等级#30,前置#35021,,,铁匠铺等级#3,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35023,3,领地建设,在领地中将一个铜矿升级至10级,等级#30,前置#35022,,,铜矿等级#10#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35024,3,领地建设,在领地中将一个修为矿升级至10级,等级#30,前置#35023,,,修为矿等级#10#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35025,3,领地建设,在领地中将一个铜矿升级至11级,,前置#35024,,,铜矿等级#11#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35026,3,领地建设,在领地中将一个修为矿升级至11级,,前置#35025,,,修为矿等级#11#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35027,3,领地建设,在领地中将一个铜矿升级至12级,,前置#35026,,,铜矿等级#12#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35028,3,领地建设,在领地中将一个修为矿升级至12级,,前置#35027,,,修为矿等级#12#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35029,3,领地建设,在领地中将一个铜矿升级至13级,,前置#35028,,,铜矿等级#13#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35030,3,领地建设,在领地中将一个修为矿升级至13级,,前置#35029,,,修为矿等级#13#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35031,3,领地建设,将武魂殿升级至4级,,前置#35030,,,武魂殿等级#4,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35032,3,领地建设,将铁匠铺升级至4级,,前置#35031,,,铁匠铺等级#4,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35033,3,领地建设,在领地中将一个铜矿升级至14级,,前置#35032,,,铜矿等级#14#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35034,3,领地建设,在领地中将一个修为矿升级至14级,,前置#35033,,,修为矿等级#14#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35035,3,领地建设,在领地中将一个铜矿升级至15级,,前置#35034,,,铜矿等级#15#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35036,3,领地建设,在领地中将一个修为矿升级至15级,,前置#35035,,,修为矿等级#15#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35037,3,领地建设,在领地中将一个铜矿升级至16级,,前置#35036,,,铜矿等级#16#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35038,3,领地建设,在领地中将一个修为矿升级至16级,,前置#35037,,,修为矿等级#16#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35039,3,领地建设,将武魂殿升级至5级,,前置#35038,,,武魂殿等级#5,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35040,3,领地建设,将铁匠铺升级至5级,,前置#35039,,,铁匠铺等级#5,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35041,3,领地建设,在领地中将一个铜矿升级至17级,,前置#35040,,,铜矿等级#17#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35042,3,领地建设,在领地中将一个修为矿升级至17级,,前置#35041,,,修为矿等级#17#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35043,3,领地建设,在领地中将一个铜矿升级至18级,,前置#35042,,,铜矿等级#18#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35044,3,领地建设,在领地中将一个修为矿升级至18级,,前置#35043,,,修为矿等级#18#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35045,3,领地建设,在领地中将一个铜矿升级至19级,,前置#35044,,,铜矿等级#19#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35046,3,领地建设,在领地中将一个修为矿升级至19级,,前置#35045,,,修为矿等级#19#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35047,3,领地建设,将武魂殿升级至6级,,前置#35046,,,武魂殿等级#6,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35048,3,领地建设,将铁匠铺升级至6级,,前置#35047,,,铁匠铺等级#6,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35049,3,领地建设,在领地中将一个铜矿升级至20级,,前置#35048,,,铜矿等级#20#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35050,3,领地建设,在领地中将一个修为矿升级至20级,,前置#35049,,,修为矿等级#20#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35051,3,领地建设,在领地中将一个铜矿升级至21级,,前置#35050,,,铜矿等级#21#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35052,3,领地建设,在领地中将一个修为矿升级至21级,,前置#35051,,,修为矿等级#21#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35053,3,领地建设,在领地中将一个铜矿升级至22级,,前置#35052,,,铜矿等级#22#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35054,3,领地建设,在领地中将一个修为矿升级至22级,,前置#35053,,,修为矿等级#22#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35055,3,领地建设,在领地中将一个铜矿升级至23级,,前置#35054,,,铜矿等级#23#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35056,3,领地建设,在领地中将一个修为矿升级至23级,,前置#35055,,,修为矿等级#23#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35057,3,领地建设,将武魂殿升级至7级,,前置#35056,,,武魂殿等级#7,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35058,3,领地建设,将铁匠铺升级至7级,,前置#35057,,,铁匠铺等级#7,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35059,3,领地建设,在领地中将一个铜矿升级至24级,,前置#35058,,,铜矿等级#24#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35060,3,领地建设,在领地中将一个修为矿升级至24级,,前置#35059,,,修为矿等级#24#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35061,3,领地建设,在领地中将一个铜矿升级至25级,,前置#35060,,,铜矿等级#25#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35062,3,领地建设,在领地中将一个修为矿升级至25级,,前置#35061,,,修为矿等级#25#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35063,3,领地建设,在领地中将一个铜矿升级至26级,,前置#35062,,,铜矿等级#26#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35064,3,领地建设,在领地中将一个修为矿升级至26级,,前置#35063,,,修为矿等级#26#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35065,3,领地建设,将武魂殿升级至8级,,前置#35064,,,武魂殿等级#8,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35066,3,领地建设,将铁匠铺升级至8级,,前置#35065,,,铁匠铺等级#8,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35067,3,领地建设,在领地中将一个铜矿升级至27级,,前置#35066,,,铜矿等级#27#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35068,3,领地建设,在领地中将一个修为矿升级至27级,,前置#35067,,,修为矿等级#27#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35069,3,领地建设,在领地中将一个铜矿升级至28级,,前置#35068,,,铜矿等级#28#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35070,3,领地建设,在领地中将一个修为矿升级至28级,,前置#35069,,,修为矿等级#28#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35071,3,领地建设,在领地中将一个铜矿升级至29级,,前置#35070,,,铜矿等级#29#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35072,3,领地建设,在领地中将一个修为矿升级至29级,,前置#35071,,,修为矿等级#29#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35073,3,领地建设,将武魂殿升级至9级,,前置#35072,,,武魂殿等级#9,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35074,3,领地建设,将铁匠铺升级至9级,,前置#35073,,,铁匠铺等级#9,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35075,3,领地建设,在领地中将一个铜矿升级至30级,,前置#35074,,,铜矿等级#30#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35076,3,领地建设,在领地中将一个修为矿升级至30级,,前置#35075,,,修为矿等级#30#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35077,3,领地建设,在领地中将一个铜矿升级至31级,,前置#35076,,,铜矿等级#31#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35078,3,领地建设,在领地中将一个修为矿升级至31级,,前置#35077,,,修为矿等级#31#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35079,3,领地建设,在领地中将一个铜矿升级至32级,,前置#35078,,,铜矿等级#32#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35080,3,领地建设,在领地中将一个修为矿升级至32级,,前置#35079,,,修为矿等级#32#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35081,3,领地建设,在领地中将一个铜矿升级至33级,,前置#35080,,,铜矿等级#33#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35082,3,领地建设,在领地中将一个修为矿升级至33级,,前置#35081,,,修为矿等级#33#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35083,3,领地建设,将武魂殿升级至10级,,前置#35082,,,武魂殿等级#10,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35084,3,领地建设,将铁匠铺升级至10级,,前置#35083,,,铁匠铺等级#10,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35085,3,领地建设,在领地中将一个铜矿升级至34级,,前置#35084,,,铜矿等级#34#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35086,3,领地建设,在领地中将一个修为矿升级至34级,,前置#35085,,,修为矿等级#34#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35087,3,领地建设,在领地中将一个铜矿升级至35级,,前置#35086,,,铜矿等级#35#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35088,3,领地建设,在领地中将一个修为矿升级至35级,,前置#35087,,,修为矿等级#35#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35089,3,领地建设,在领地中将一个铜矿升级至36级,,前置#35088,,,铜矿等级#36#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35090,3,领地建设,在领地中将一个修为矿升级至36级,,前置#35089,,,修为矿等级#36#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35091,3,领地建设,将武魂殿升级至11级,,前置#35090,,,武魂殿等级#11,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35092,3,领地建设,将铁匠铺升级至11级,,前置#35091,,,铁匠铺等级#11,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35093,3,领地建设,在领地中将一个铜矿升级至37级,,前置#35092,,,铜矿等级#37#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35094,3,领地建设,在领地中将一个修为矿升级至37级,,前置#35093,,,修为矿等级#37#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35095,3,领地建设,在领地中将一个铜矿升级至38级,,前置#35094,,,铜矿等级#38#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35096,3,领地建设,在领地中将一个修为矿升级至38级,,前置#35095,,,修为矿等级#38#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35097,3,领地建设,在领地中将一个铜矿升级至39级,,前置#35096,,,铜矿等级#39#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35098,3,领地建设,在领地中将一个修为矿升级至39级,,前置#35097,,,修为矿等级#39#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35099,3,领地建设,将武魂殿升级至12级,,前置#35098,,,武魂殿等级#12,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35100,3,领地建设,将铁匠铺升级至12级,,前置#35099,,,铁匠铺等级#12,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35101,3,领地建设,在领地中将一个铜矿升级至40级,,前置#35100,,,铜矿等级#40#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
35102,3,领地建设,在领地中将一个修为矿升级至40级,,前置#35101,,,修为矿等级#40#1,永不重置,1,LifeAtt#2#50,,,TerritoryHarry,,renwu_018
21001,2,技能升级,进行1次技能升级,等级#9,,,,技能升级#1,每日重置,1,,LifeAtt#1#500,LifeAtt#3#800,Hero,,renwu_020
21002,2,英雄培养,进行3次英雄升级,等级#10,,,,英雄升级次数#3,每日重置,1,LifeAtt#4#3000,,LifeAtt#3#800,Hero,,renwu_015
21003,2,发家致富,掠夺他人领地1次,等级#10,,,,掠夺次数#1,每日重置,1,,LifeAtt#1#5000,LifeAtt#3#1000,Territory,,renwu_017
