##ID,,,,0黑；1绿；2蓝；3紫；4黄,备注，程序不读,,,,0：静态等级；1：动态等级,,,,,,,,,,,,,,,,
怪物ID,名称,显示名,性别,怪物等阶,怪物类型,头像资源ID,资源,等级,是否动态等级,主动技能,普攻技能,天赋技能,放大比例,生命,攻击,命中,闪避,暴击,韧性,抵挡,破击,护甲,破甲,初始怒气,类型
6055,,武当山猎人,0,1,1,6003,gongjianshou,16,,116,4,,10000,724,401,0,10,150,0,0,0,0,0,50,0
6056,,武当山猎人,0,1,2,6002,daodunbing,16,,120,2,,10000,1293,210,0,10,10,0,100,0,0,0,50,0
6057,,武当山猎人,0,1,1,6011,mibaoshanzeitoumu,16,,147,146,,10000,1098,422,0,10,100,0,0,0,0,0,50,0
6058,,武当山猎人,0,1,1,6003,gongjianshou,16,,116,4,,10000,769,422,0,10,150,0,0,0,0,0,50,0
6059,,武当小弟子,0,1,1,6006,wushi,16,,123,134,,10000,956,616,0,10,200,0,0,0,0,0,50,0
6060,,武当小弟子,0,1,1,6007,mibaoshanzei,16,,124,3,,10000,1020,554,0,10,150,0,0,0,0,0,50,0
6061,,武当小弟子,0,1,1,6011,mibaoshanzeitoumu,17,,147,146,,10000,1234,465,0,10,100,0,0,0,0,0,50,0
6062,,武当小弟子,0,1,1,6006,wushi,17,,123,134,,10000,810,517,0,10,200,0,0,0,0,0,50,0
6063,,武当小弟子,0,1,1,6001,changqiangbing,17,,119,1,,10000,1304,371,0,10,100,0,0,0,0,0,50,0
6064,,武当小弟子,0,1,1,6003,gongjianshou,17,,116,4,,10000,913,488,0,10,150,0,0,0,0,0,50,0
6065,,武当大师兄,0,1,1,6008,wufu,18,,125,2,,10000,1721,454,0,100,10,0,0,0,0,0,50,0
6066,,武当大师兄,0,1,1,6007,mibaoshanzei,18,,124,3,,10000,1205,639,0,10,150,0,0,0,0,0,50,0
6067,,武当大师兄,0,1,1,6006,wushi,18,,123,134,,10000,953,595,0,10,200,0,0,0,0,0,50,0
6068,,武当大师兄,0,1,1,6001,changqiangbing,18,,119,1,,10000,1452,408,0,10,100,0,0,0,0,0,50,0
6069,,武当大师兄,0,1,2,6002,daodunbing,19,,120,2,,10000,1911,293,0,10,10,0,100,0,0,0,50,0
6070,,武当大师兄,0,1,1,6006,wushi,19,,123,134,,10000,1003,623,0,10,200,0,0,0,0,0,50,0
6071,,武当大师兄,0,1,2,6002,daodunbing,19,,120,2,,10000,2009,306,0,10,10,0,100,0,0,0,50,0
6072,,武当大师兄,0,1,1,6011,mibaoshanzeitoumu,19,,147,146,,10000,1607,586,0,10,100,0,0,0,0,0,50,0
6073,,武当大师兄,0,1,1,6003,gongjianshou,19,,116,4,,10000,1477,765,0,10,150,0,0,0,0,0,50,0
6074,,武当大师兄,0,1,1,6005,youxia,19,,122,2,,10000,2110,544,0,100,10,0,0,0,0,0,50,0
6075,,龙虎小将,0,1,1,6008,wufu,20,,125,2,,10000,1902,497,0,100,10,0,0,0,0,0,50,0
6076,,龙虎小将,0,1,1,6006,wushi,20,,123,134,,10000,1248,776,0,10,200,0,0,0,0,0,50,0
6077,,龙虎小将,0,1,1,6004,cike,20,,121,3,,10000,1408,743,0,10,150,0,0,0,0,0,50,0
6078,,龙虎小将,0,1,1,6005,youxia,20,,122,2,,10000,2012,529,0,100,10,0,0,0,0,0,50,0
6079,,龙虎小将,0,1,1,6001,changqiangbing,21,,119,1,,10000,2125,601,0,10,100,0,0,0,0,0,50,0
6080,,龙虎小将,0,1,1,6006,wushi,21,,123,134,,10000,1394,877,0,10,200,0,0,0,0,0,50,0
6081,,龙虎大将,0,1,1,6008,wufu,21,,125,2,,10000,2801,743,0,100,10,0,0,0,0,0,50,0
6082,,龙虎大将,0,1,1,6007,mibaoshanzei,21,,124,3,,10000,1961,1045,0,10,150,0,0,0,0,0,50,0
6083,,龙虎大将,0,1,1,6011,mibaoshanzeitoumu,22,,147,146,,10000,2359,885,0,10,100,0,0,0,0,0,50,0
6084,,龙虎大将,0,1,1,6003,gongjianshou,22,,116,4,,10000,1651,885,0,10,150,0,0,0,0,0,50,0
6085,,龙虎大将,0,1,1,6005,youxia,23,,122,2,,10000,2481,664,0,100,10,0,0,0,0,0,50,0
6086,,龙虎大将,0,1,1,6007,mibaoshanzei,23,,124,3,,10000,1737,933,0,10,150,0,0,0,0,0,50,0
6087,,龙虎大将,0,1,1,6008,wufu,23,,125,2,,10000,2605,700,0,100,10,0,0,0,0,0,50,0
6088,,龙虎大将,0,1,1,6006,wushi,23,,123,134,,10000,1709,1093,0,10,200,0,0,0,0,0,50,0
6089,,龙虎老将,0,1,1,6003,gongjianshou,24,,116,4,,10000,2390,1294,0,10,150,0,0,0,0,0,50,0
6090,,龙虎老将,0,1,1,6001,changqiangbing,24,,119,1,,10000,3414,985,0,10,100,0,0,0,0,0,50,0
6091,,龙虎老将,0,1,1,6003,gongjianshou,24,,116,4,,10000,2003,1088,0,10,150,0,0,0,0,0,50,0
6092,,龙虎老将,0,1,1,6001,changqiangbing,24,,119,1,,10000,2861,828,0,10,100,0,0,0,0,0,50,0
6093,,龙虎老将,0,1,1,6005,youxia,24,,122,2,,10000,2993,812,0,100,10,0,0,0,0,0,50,0
6094,,龙虎老将,0,1,1,6001,changqiangbing,24,,119,1,,10000,2993,869,0,10,100,0,0,0,0,0,50,0
6095,,龙虎老将,0,1,1,6008,wufu,25,,125,2,,10000,3910,1063,0,100,10,0,0,0,0,0,50,0
6096,,龙虎老将,0,1,1,6007,mibaoshanzei,25,,124,3,,10000,2737,1495,0,10,150,0,0,0,0,0,50,0
6097,,宋朝山大王,0,1,2,6002,daodunbing,25,,120,2,,10000,4091,645,0,10,10,0,100,0,0,0,50,0
6098,,宋朝山大王,0,1,1,6003,gongjianshou,25,,116,4,,10000,2291,1235,0,10,150,0,0,0,0,0,50,0
6099,,宋朝山大王,0,1,1,6008,wufu,26,,125,2,,10000,3347,893,0,100,10,0,0,0,0,0,50,0
6100,,宋朝山大王,0,1,1,6007,mibaoshanzei,26,,124,3,,10000,2343,1256,0,10,150,0,0,0,0,0,50,0
6101,,大宋杂兵,0,1,1,6003,gongjianshou,26,,116,4,,10000,2396,1276,0,10,150,0,0,0,0,0,50,0
6102,,大宋杂兵,0,1,1,6004,cike,26,,121,3,,10000,2396,1276,0,10,150,0,0,0,0,0,50,0
6103,,大宋杂兵,0,1,1,6005,youxia,27,,122,2,,10000,4376,1153,0,100,10,0,0,0,0,0,50,0
6104,,大宋杂兵,0,1,2,6002,daodunbing,27,,120,2,,10000,5470,846,0,10,10,0,100,0,0,0,50,0
6105,,大宋杂兵,0,1,1,6001,changqiangbing,27,,119,1,,10000,3580,1004,0,10,100,0,0,0,0,0,50,0
6106,,大宋杂兵,0,1,1,6005,youxia,27,,122,2,,10000,3580,938,0,100,10,0,0,0,0,0,50,0
6107,,大宋猛将,0,1,1,6007,mibaoshanzei,28,,124,3,,10000,2562,1340,0,10,150,0,0,0,0,0,50,0
6108,,大宋猛将,0,1,1,6004,cike,28,,121,3,,10000,2562,1340,0,10,150,0,0,0,0,0,50,0
6109,,大宋猛将,0,1,1,6008,wufu,28,,125,2,,10000,3742,968,0,100,10,0,0,0,0,0,50,0
6110,,大宋猛将,0,1,1,6005,youxia,28,,122,2,,10000,3742,968,0,100,10,0,0,0,0,0,50,0
6111,,大宋猛将,0,1,1,6011,mibaoshanzeitoumu,29,,147,146,,10000,4781,1731,0,10,100,0,0,0,0,0,50,0
6112,,大宋猛将,0,1,1,6008,wufu,29,,125,2,,10000,4781,1231,0,100,10,0,0,0,0,0,50,0
6113,,大宋将军,0,1,1,6001,changqiangbing,29,,119,1,,10000,3910,1071,0,10,100,0,0,0,0,0,50,0
6114,,大宋将军,0,1,2,6002,daodunbing,29,,120,2,,10000,4887,735,0,10,10,0,100,0,0,0,50,0
6115,,大宋将军,0,1,1,6003,gongjianshou,30,,116,4,,10000,2797,1431,0,10,150,0,0,0,0,0,50,0
6116,,大宋将军,0,1,1,6008,wufu,30,,125,2,,10000,3996,1018,0,100,10,0,0,0,0,0,50,0
6117,,大宋将军,0,1,1,6005,youxia,30,,122,2,,10000,5104,1293,0,100,10,0,0,0,0,0,50,0
6118,,大宋将军,0,1,1,6001,changqiangbing,30,,119,1,,10000,5104,1384,0,10,100,0,0,0,0,0,50,0
6119,,梁山水兵,0,1,1,6006,wushi,31,,123,134,,10000,3113,1858,0,10,200,0,0,0,0,0,50,0
6120,,梁山水兵,0,1,1,6007,mibaoshanzei,31,,124,3,,10000,3321,1672,0,10,150,0,0,0,0,0,50,0
6121,,梁山水兵,0,1,1,6007,mibaoshanzei,32,,124,3,,10000,3375,1691,0,10,150,0,0,0,0,0,50,0
6122,,梁山水兵,0,1,1,6006,wushi,32,,123,134,,10000,3164,1879,0,10,200,0,0,0,0,0,50,0
6123,,梁山水兵,0,1,1,6011,mibaoshanzeitoumu,32,,147,146,,10000,4900,1710,0,10,100,0,0,0,0,0,50,0
6124,,梁山水兵,0,1,1,6005,youxia,32,,122,2,,10000,4900,1216,0,100,10,0,0,0,0,0,50,0
6125,,梁山步兵,0,1,1,6008,wufu,32,,125,2,,10000,5533,1366,0,100,10,0,0,0,0,0,50,0
6126,,梁山步兵,0,1,1,6006,wushi,32,,123,134,,10000,3631,2134,0,10,200,0,0,0,0,0,50,0
6127,,梁山步兵,0,1,1,6003,gongjianshou,33,,116,4,,10000,3542,1748,0,10,150,0,0,0,0,0,50,0
6128,,梁山步兵,0,1,1,6004,cike,33,,121,3,,10000,3542,1748,0,10,150,0,0,0,0,0,50,0
6129,,梁山步兵,0,1,1,6005,youxia,33,,122,2,,10000,5142,1257,0,100,10,0,0,0,0,0,50,0
6130,,梁山步兵,0,1,1,6006,wushi,33,,123,134,,10000,3375,1964,0,10,200,0,0,0,0,0,50,0
6131,,梁山骑兵,0,1,1,6005,youxia,33,,122,2,,10000,5226,1271,0,100,10,0,0,0,0,0,50,0
6132,,梁山骑兵,0,1,2,6002,daodunbing,33,,120,2,,10000,6532,933,0,10,10,0,100,0,0,0,50,0
6133,,梁山骑兵,0,1,1,6007,mibaoshanzei,34,,124,3,,10000,4130,2009,0,10,150,0,0,0,0,0,50,0
6134,,梁山骑兵,0,1,1,6004,cike,34,,121,3,,10000,4130,2009,0,10,150,0,0,0,0,0,50,0
6135,,梁山骑兵,0,1,1,6006,wushi,34,,123,134,,10000,3541,2032,0,10,200,0,0,0,0,0,50,0
6136,,梁山骑兵,0,1,1,6008,wufu,34,,125,2,,10000,5395,1300,0,100,10,0,0,0,0,0,50,0
6137,,梁山猛将,0,1,1,6007,mibaoshanzei,34,,124,3,,10000,3838,1850,0,10,150,0,0,0,0,0,50,0
6138,,梁山猛将,0,1,2,6002,daodunbing,34,,120,2,,10000,6853,966,0,10,10,0,100,0,0,0,50,0
6139,,梁山猛将,0,1,1,6007,mibaoshanzei,35,,124,3,,10000,3899,1871,0,10,150,0,0,0,0,0,50,0
6140,,梁山猛将,0,1,1,6004,cike,35,,121,3,,10000,3899,1871,0,10,150,0,0,0,0,0,50,0
6141,,梁山猛将,0,1,1,6004,cike,35,,121,3,,10000,4402,2102,0,10,150,0,0,0,0,0,50,0
6142,,梁山猛将,0,1,1,6007,mibaoshanzei,35,,124,3,,10000,4402,2102,0,10,150,0,0,0,0,0,50,0
6143,,小纯,0,1,1,6008,wufu,36,,125,2,,10000,5888,1385,0,100,10,0,0,0,0,0,50,0
6144,,小纯,0,1,1,6003,gongjianshou,36,,116,4,,10000,4122,1948,0,10,150,0,0,0,0,0,50,0
6145,,小纯,0,1,1,6005,youxia,36,,122,2,,10000,6004,1405,0,100,10,0,0,0,0,0,50,0
6146,,小纯,0,1,1,6001,changqiangbing,36,,119,1,,10000,6004,1504,0,10,100,0,0,0,0,0,50,0
6147,,小纯,0,1,1,6011,mibaoshanzeitoumu,36,,147,146,,10000,6122,2005,0,10,100,0,0,0,0,0,50,0
6148,,小纯,0,1,1,6006,wushi,36,,123,134,,10000,4018,2228,0,10,200,0,0,0,0,0,50,0
6149,,老纯,0,1,1,6008,wufu,37,,125,2,,10000,6935,1608,0,100,10,0,0,0,0,0,50,0
6150,,老纯,0,1,1,6005,youxia,37,,122,2,,10000,6935,1608,0,100,10,0,0,0,0,0,50,0
6151,,老纯,0,1,1,6007,mibaoshanzei,37,,124,3,,10000,4454,2065,0,10,150,0,0,0,0,0,50,0
6152,,老纯,0,1,1,6006,wushi,37,,123,134,,10000,4175,2294,0,10,200,0,0,0,0,0,50,0
6153,,老纯,0,1,1,6011,mibaoshanzeitoumu,38,,147,146,,10000,6485,2094,0,10,100,0,0,0,0,0,50,0
6154,,老纯,0,1,1,6001,changqiangbing,38,,119,1,,10000,6485,1594,0,10,100,0,0,0,0,0,50,0
6155,,老纯,0,2,1,6011,mibaoshanzeitoumu,38,,147,146,,10000,6609,2125,0,10,100,0,0,0,0,0,50,0
6156,,老纯,0,2,1,6006,wushi,38,,123,134,,10000,4337,2361,0,10,200,0,0,0,0,0,50,0
6157,,首席弟子,0,2,1,6008,wufu,39,,125,2,,10000,7483,1703,0,100,10,0,0,0,0,0,50,0
6158,,首席弟子,0,2,1,6005,youxia,39,,122,2,,10000,7483,1703,0,100,10,0,0,0,0,0,50,0
6159,,首席弟子,0,2,2,6002,daodunbing,39,,120,2,,10000,8577,1142,0,10,10,0,100,0,0,0,50,0
6160,,首席弟子,0,2,1,6006,wushi,39,,123,134,,10000,4503,2430,0,10,200,0,0,0,0,0,50,0
6161,,首席弟子,0,2,1,6011,mibaoshanzeitoumu,39,,147,146,,10000,6990,2219,0,10,100,0,0,0,0,0,50,0
6162,,首席弟子,0,2,2,6002,daodunbing,39,,120,2,,10000,8738,1159,0,10,10,0,100,0,0,0,50,0
6163,,首席弟子,0,2,1,6006,wushi,40,,123,134,,10000,4673,2500,0,10,200,0,0,0,0,0,50,0
6164,,首席弟子,0,2,1,6007,mibaoshanzei,40,,124,3,,10000,4985,2250,0,10,150,0,0,0,0,0,50,0
6165,,首席弟子,0,2,1,6004,cike,40,,121,3,,10000,5641,2536,0,10,150,0,0,0,0,0,50,0
6166,,首席弟子,0,2,1,6011,mibaoshanzeitoumu,40,,147,146,,10000,8058,2536,0,10,100,0,0,0,0,0,50,0
6167,,金国小兵,0,2,1,6006,wushi,40,,123,134,,10000,4898,2587,0,10,200,0,0,0,0,0,50,0
6168,,金国小兵,0,2,1,6007,mibaoshanzei,40,,124,3,,10000,5224,2328,0,10,150,0,0,0,0,0,50,0
6169,,金国小兵,0,2,1,6008,wufu,41,,125,2,,10000,7570,1672,0,100,10,0,0,0,0,0,50,0
6170,,金国小兵,0,2,1,6005,youxia,41,,122,2,,10000,7570,1672,0,100,10,0,0,0,0,0,50,0
6171,,金国侍卫,0,2,1,6005,youxia,41,,122,2,,10000,7678,1689,0,100,10,0,0,0,0,0,50,0
6172,,金国侍卫,0,2,1,6003,gongjianshou,41,,116,4,,10000,5375,2375,0,10,150,0,0,0,0,0,50,0
6173,,金国侍卫,0,2,1,6011,mibaoshanzeitoumu,41,,147,146,,10000,8654,2666,0,10,100,0,0,0,0,0,50,0
6174,,金国侍卫,0,2,1,6006,wushi,41,,123,134,,10000,5679,2962,0,10,200,0,0,0,0,0,50,0
6175,,金国侍卫,0,2,1,6008,wufu,42,,125,2,,10000,7899,1723,0,100,10,0,0,0,0,0,50,0
6176,,金国侍卫,0,2,2,6002,daodunbing,42,,120,2,,10000,9874,1265,0,10,10,0,100,0,0,0,50,0
6177,,朱仙镇守兵,0,2,1,6007,mibaoshanzei,42,,124,3,,10000,5608,2447,0,10,150,0,0,0,0,0,50,0
6178,,朱仙镇守兵,0,2,2,6002,daodunbing,42,,120,2,,10000,10014,1278,0,10,10,0,100,0,0,0,50,0
6179,,朱仙镇守兵,0,2,1,6006,wushi,43,,123,134,,10000,5331,2747,0,10,200,0,0,0,0,0,50,0
6180,,朱仙镇守兵,0,2,2,6002,daodunbing,43,,120,2,,10000,10155,1291,0,10,10,0,100,0,0,0,50,0
6181,,朱仙镇守兵,0,2,1,6008,wufu,43,,125,2,,10000,9154,1973,0,100,10,0,0,0,0,0,50,0
6182,,朱仙镇守兵,0,2,1,6005,youxia,43,,122,2,,10000,9154,1973,0,100,10,0,0,0,0,0,50,0
6183,,朱仙镇头目,0,2,1,6003,gongjianshou,43,,116,4,,10000,5848,2522,0,10,150,0,0,0,0,0,50,0
6184,,朱仙镇头目,0,2,1,6005,youxia,43,,122,2,,10000,8354,1793,0,100,10,0,0,0,0,0,50,0
6185,,朱仙镇头目,0,2,1,6007,mibaoshanzei,44,,124,3,,10000,5930,2548,0,10,150,0,0,0,0,0,50,0
6186,,朱仙镇头目,0,2,1,6003,gongjianshou,44,,116,4,,10000,5930,2548,0,10,150,0,0,0,0,0,50,0
6187,,朱仙镇头目,0,2,1,6007,mibaoshanzei,44,,124,3,,10000,6013,2573,0,10,150,0,0,0,0,0,50,0
6188,,朱仙镇头目,0,2,2,6002,daodunbing,44,,120,2,,10000,10737,1344,0,10,10,0,100,0,0,0,50,0
6189,,朱仙镇头目,0,2,1,6006,wushi,45,,123,134,,10000,6350,3209,0,10,300,0,0,0,0,0,50,0
6190,,朱仙镇头目,0,2,1,6007,mibaoshanzei,45,,124,3,,10000,6774,2888,0,10,225,0,0,0,0,0,50,0
6191,,西门家仆,0,2,1,6001,changqiangbing,45,,119,1,,10000,8867,2019,0,10,135,0,0,0,0,0,50,0
6192,,西门家仆,0,2,2,6002,daodunbing,45,,120,2,,10000,11084,1385,0,10,14,0,100,0,0,0,50,0
6193,,西门家仆,0,2,1,6003,gongjianshou,46,,116,4,,10000,6263,2678,0,10,203,0,0,0,0,0,50,0
6194,,西门家仆,0,2,1,6004,cike,46,,121,3,,10000,6263,2678,0,10,203,0,0,0,0,0,50,0
6195,,西门家仆,0,2,1,6005,youxia,46,,122,2,,10000,9029,1924,0,100,14,0,0,0,0,0,50,0
6196,,西门家仆,0,2,1,6008,wufu,46,,125,2,,10000,9029,1924,0,100,14,0,0,0,0,0,50,0
6197,,西门家将,0,2,1,6003,gongjianshou,47,,116,4,,10000,7086,3037,0,10,225,0,0,0,0,0,50,0
6198,,西门家将,0,2,1,6001,changqiangbing,47,,119,1,,10000,10122,2311,0,10,150,0,0,0,0,0,50,0
6199,,西门家将,0,2,1,6005,youxia,47,,122,2,,10000,9194,1963,0,100,14,0,0,0,0,0,50,0
6200,,西门家将,0,2,1,6001,changqiangbing,47,,119,1,,10000,9194,2101,0,10,135,0,0,0,0,0,50,0
6201,,西门家将,0,2,1,6004,cike,48,,121,3,,10000,6494,2788,0,10,203,0,0,0,0,0,50,0
6202,,西门家将,0,2,1,6005,youxia,48,,122,2,,10000,9277,1983,0,100,14,0,0,0,0,0,50,0
6203,,西门门徒,0,2,1,6008,wufu,48,,125,2,,10000,9361,2003,0,100,14,0,0,0,0,0,50,0
6204,,西门门徒,0,2,1,6006,wushi,48,,123,134,,10000,6143,3129,0,10,270,0,0,0,0,0,50,0
6205,,西门门徒,0,2,1,6004,cike,49,,121,3,,10000,7347,3161,0,10,225,0,0,0,0,0,50,0
6206,,西门门徒,0,2,1,6003,gongjianshou,49,,116,4,,10000,7347,3161,0,10,225,0,0,0,0,0,50,0
6207,,西门门徒,0,2,1,6005,youxia,49,,122,2,,10000,9532,2043,0,100,14,0,0,0,0,0,50,0
6208,,西门门徒,0,2,1,6011,mibaoshanzeitoumu,49,,147,146,,10000,9532,2873,0,10,135,0,0,0,0,0,50,0
6209,,西门管家,0,2,1,6005,youxia,50,,122,2,,10000,9619,2063,0,100,14,0,0,0,0,0,50,0
6210,,西门管家,0,2,1,6001,changqiangbing,50,,119,1,,10000,9619,2208,0,10,135,0,0,0,0,0,50,0
6211,,西门管家,0,2,1,6006,wushi,50,,123,134,,10000,6370,3257,0,10,270,0,0,0,0,0,50,0
6212,,西门管家,0,2,1,6004,cike,50,,121,3,,10000,6794,2931,0,10,203,0,0,0,0,0,50,0
6213,,西门管家,0,2,1,6005,youxia,50,,122,2,,10000,10883,2339,0,100,15,0,0,0,0,0,50,0
6214,,西门管家,0,2,2,6002,daodunbing,50,,120,2,,10000,13604,1718,0,10,15,0,100,0,0,0,50,0
6215,,家将,0,2,1,6004,cike,51,,121,3,,10000,7049,3013,0,10,203,0,0,0,0,0,50,0
6216,,家将,0,2,1,6005,youxia,51,,122,2,,10000,10070,2143,0,100,14,0,0,0,0,0,50,0
6217,,家将,0,2,1,6003,gongjianshou,51,,116,4,,10000,7146,3039,0,10,203,0,0,0,0,0,50,0
6218,,家将,0,2,1,6007,mibaoshanzei,51,,124,3,,10000,7146,3039,0,10,203,0,0,0,0,0,50,0
