##,,,,,,,,,
公告ID,发送者,标题,内容,奖励,最小等级,最高等级,开始时间,截至时间,保留天数
10,系统,删档付费封测开启,亲爱的玩家们：\n《英雄略叼》于2015年2月12日10：00开启二次删档封测，诚邀各位新老玩家加入！\n本次测试将开启付费充值，并且所有玩家充值的金额将在之后不删档内测时，给与150%的返还！！\n删档封测开启同时，也为各位玩家准备了诸多好礼，让您在《英雄略叼》的世界里，礼多横着走。\n服务器名称：删档付费封测服\n封测时间：2月12日10:00时—2月25日16:00时,,1,500,2015/2/8,2015/2/28,14
11,系统,临时维护礼包,亲爱的各位玩家，今天游戏临时出现了一些问题，导致玩家出现不能进入游戏的情况。在技术人员的努力下，现在游戏的问题已经得到了解决。为了补偿大家，所有玩家都可获得200元宝。,20016,5,500,2015/2/8,2015/2/13,5
12,系统,临时维护礼包,亲爱的各位玩家，为了大家能有更好的游戏体验，我们在今天下午对游戏进行临时维护，解决目前游戏中发现的一些问题。维护后大家进行更新后即可进入游戏。维护结束后，所有玩家都可获得200元宝做为补偿。,20016,5,500,2015/2/8,2015/2/14,5
13,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，维服结束后，所有10级以上的玩家都可获得200元宝的补偿。,2020,1,500,2015/4/23,2015/4/25,2
14,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验，服务器进行了临时维护。为了补偿大家，所有10级以上的玩家都可获得200元宝的补偿。,2020,1,500,2015/4/26,2015/4/28,2
15,系统,临时维护补偿,亲爱的各位玩家，今天游戏临时出现了一些问题，导致玩家出现不能进入副本的情况。在技术人员的努力下，现在游戏的问题已经得到了解决。为了补偿大家，所有玩家都可获得200元宝。,2020,1,500,2015/4/27,2015/4/29,2
16,系统,临时维护补偿,亲爱的各位玩家，今天游戏临时出现了一些问题，导致玩家出现不能添加好友的情况。在技术人员的努力下，现在游戏的问题已经得到了解决。为了补偿大家，所有玩家都可获得100元宝。,2018,1,500,2015/4/27,2015/4/29,2
17,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，维服结束后，所有玩家都可获得100元宝的补偿。,2018,1,500,2015/4/28,2015/4/30,2
18,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，维服结束后，所有玩家都可获得100元宝的补偿。,2018,1,500,2015/4/28,2015/4/30,2
19,系统,签到异常补偿,亲爱的各位玩家，今天游戏中的签到奖励出现了异常，导致签到奖励出现问题，为了补偿大家，所有玩家都可获得貂蝉武魂×50。,2029,1,500,2015/4/29,2015/5/1,2
20,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，维服结束后，所有玩家都可获得100元宝的补偿。,2018,1,500,2015/4/29,2015/5/1,2
21,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，维服结束后，所有玩家都可获得100元宝的补偿。,2018,1,500,2015/4/29,2015/5/1,2
22,系统,签到异常补偿,亲爱的各位玩家，由于游戏中的签到奖励出现了问题，为了补偿大家，所有玩家都可获得：元宝×1400，体力×60，三星英雄貂蝉×1。,2031,1,500,2015/5/4,2015/5/7,2
23,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，本次维服将适当调低九天幻境难度（进行幻境重置后才能生效），维服结束后，所有玩家都可获得100元宝的补偿。,2018,1,500,2015/5/6,2015/5/9,2
24,系统,战斗异常补偿,亲爱的各位玩家，5月2号2服玩家出现了战斗卡死的问题，导致玩家出现不能进入副本的情况。为了补偿大家，所有玩家都可获得200元宝。,2020,1,500,2015/5/6,2015/5/9,2
25,系统,开服第1天登陆奖励,亲爱的各位玩家，欢迎来到英雄略叼。开服前七天登陆游戏，都可获得丰厚奖励哦。附件为开服第1天登陆奖励。,2032,1,500,2015/5/13,2015/5/15,2
26,系统,开服第2天登陆奖励,亲爱的各位玩家，欢迎来到英雄略叼。开服前七天登陆游戏，都可获得丰厚奖励哦。附件为开服第2天登陆奖励。,2033,1,500,2015/5/13,2015/5/15,2
27,系统,开服第3天登陆奖励,亲爱的各位玩家，欢迎来到英雄略叼。开服前七天登陆游戏，都可获得丰厚奖励哦。附件为开服第3天登陆奖励。,2034,1,500,2015/5/13,2015/5/15,2
28,系统,开服第4天登陆奖励,亲爱的各位玩家，欢迎来到英雄略叼。开服前七天登陆游戏，都可获得丰厚奖励哦。附件为开服第4天登陆奖励。,2035,1,500,2015/5/13,2015/5/15,2
29,系统,开服第5天登陆奖励,亲爱的各位玩家，欢迎来到英雄略叼。开服前七天登陆游戏，都可获得丰厚奖励哦。附件为开服第5天登陆奖励。,2036,1,500,2015/5/13,2015/5/15,2
30,系统,开服第6天登陆奖励,亲爱的各位玩家，欢迎来到英雄略叼。开服前七天登陆游戏，都可获得丰厚奖励哦。附件为开服第6天登陆奖励。,2037,1,500,2015/5/13,2015/5/15,2
31,系统,开服第7天登陆奖励,亲爱的各位玩家，欢迎来到英雄略叼。开服前七天登陆游戏，都可获得丰厚奖励哦。附件为开服第7天登陆奖励。,2038,1,500,2015/5/13,2015/5/15,2
32,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，维服结束后，所有玩家都可获得100元宝的补偿。,2018,1,500,2015/8/26,2015/8/28,2
1001,军团管理员,被踢出军团,您被踢出军团，同时获得未领取的膜拜大神奖励：%rank军团贡献。此处不留爷，自有留爷处，相信凭借你的实力可以很快找到新的团友，加油！,,20,500,,,7
1002,军团管理员,军团解散,很遗憾的通知您，您所在的军团已经解散，同时获得未领取的膜拜大神奖励：%rank军团贡献。相信凭借你的实力可以很快找到新的团友，加油！,,20,500,,,7
1003,系统,删档封测充值返还,亲爱的玩家：欢迎您再次回到《英雄略叼》。您在删档封测期间共计充值%rank1元，获得充值返还%rank2元宝。感谢您对我们的支持，祝您游戏愉快！,,1,500,,,14
1004,系统,封测元老特权,亲爱的玩家：恭喜您获得封测元老特权：终身VIP10+10000元宝。欢迎您再次回到《英雄略叼》，祝您游戏愉快！,20024,1,500,,,14
1005,系统,封测精英特权,亲爱的玩家：恭喜您获得封测精英特权：终身VIP7+3000元宝。欢迎您再次回到《英雄略叼》，祝您游戏愉快！,20025,1,500,,,14
1006,系统,军团领地战额外奖励,由于你所在军团在军团领地战中战胜了防守军团，但没有获得占领领地资格，因此可以获得额外奖励。\n占领资格说明：\n1、战斗结束时，单个战场中取得最高星星数的军团获得最终胜利\n2、防御方为NPC时，获胜军团获得的星星数需要超过20才能成功占领领地\n3、若某个战场中有两个或两个以上的进攻军团取得最高星星数，则最先达到此星星数的军团获胜,20026,1,500,,,14
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
