##,,
等级,升级经验,等阶限制
328,2158540,0
329,2171700,0
330,2184900,0
331,2198140,0
332,2211420,0
333,2224740,0
334,2238100,0
335,2251500,0
336,2264940,0
337,2278420,0
338,2291940,0
339,2305500,0
340,2319100,0
341,2332740,0
342,2346420,0
343,2360140,0
344,2373900,0
345,2387700,0
346,2401540,0
347,2415420,0
348,2429340,0
349,2443300,0
350,2457300,0
351,2471340,0
352,2485420,0
353,2499540,0
354,2513700,0
355,2527900,0
356,2542140,0
357,2556420,0
358,2570740,0
359,2585100,0
360,2599500,0
361,2613940,0
362,2628420,0
363,2642940,0
364,2657500,0
365,2672100,0
366,2686740,0
367,2701420,0
368,2716140,0
369,2730900,0
370,2745700,0
371,2760540,0
372,2775420,0
373,2790340,0
374,2805300,0
375,2820300,0
376,2835340,0
377,2850420,0
378,2865540,0
379,2880700,0
380,2895900,0
381,2911140,0
382,2926420,0
383,2941740,0
384,2957100,0
385,2972500,0
386,2987940,0
387,3003420,0
388,3018940,0
389,3034500,0
390,3050100,0
391,3065740,0
392,3081420,0
393,3097140,0
394,3112900,0
395,3128700,0
396,3144540,0
397,3160420,0
398,3176340,0
399,3192300,0
400,3208300,0
401,3224340,0
402,3240420,0
403,3256540,0
404,3272700,0
405,3288900,0
406,3305140,0
407,3321420,0
408,3337740,0
409,3354100,0
410,3370500,0
411,3386940,0
412,3403420,0
413,3419940,0
414,3436500,0
415,3453100,0
416,3469740,0
417,3486420,0
418,3503140,0
419,3519900,0
420,3536700,0
421,3553540,0
422,3570420,0
423,3587340,0
424,3604300,0
425,3621300,0
426,3638340,0
427,3655420,0
428,3672540,0
429,3689700,0
430,3706900,0
431,3724140,0
432,3741420,0
433,3758740,0
434,3776100,0
435,3793500,0
436,3810940,0
437,3828420,0
438,3845940,0
439,3863500,0
440,3881100,0
441,3898740,0
442,3916420,0
443,3934140,0
444,3951900,0
445,3969700,0
446,3987540,0
447,4005420,0
448,4023340,0
449,4041300,0
450,4059300,0
451,4077340,0
452,4095420,0
453,4113540,0
454,4131700,0
455,4149900,0
456,4168140,0
457,4186420,0
458,4204740,0
459,4223100,0
460,4241500,0
461,4259940,0
462,4278420,0
463,4296940,0
464,4315500,0
465,4334100,0
466,4352740,0
467,4371420,0
468,4390140,0
469,4408900,0
470,4427700,0
471,4446540,0
472,4465420,0
473,4484340,0
474,4503300,0
475,4522300,0
476,4541340,0
477,4560420,0
478,4579540,0
479,4598700,0
480,4617900,0
481,4637140,0
482,4656420,0
483,4675740,0
484,4695100,0
485,4714500,0
486,4733940,0
487,4753420,0
488,4772940,0
489,4792500,0
490,4812100,0
491,4831740,0
492,4851420,0
493,4871140,0
494,4890900,0
495,4910700,0
496,4930540,0
497,4950420,0
498,4970340,0
499,4990300,0
500,5010300,0
