##天赋技能,,,,,,,,,,,,,,
ID,名称,描述,等级,品质,升级材料,升级铜币,升级等阶,主公等级要求,技能效果,当前效果描述,下级效果描述,图标,前端ID,技能升级效果
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,10,4,,4000,1,11,100010,伤害+142 攻击加成+12%,伤害+156 攻击加成+12.2%,1076,100101010,伤害+15#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,11,4,,5000,1,12,100011,伤害+156 攻击加成+12.2%,伤害+170 攻击加成+12.4%,1076,100101011,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,12,4,,6000,1,13,100012,伤害+170 攻击加成+12.4%,伤害+184 攻击加成+12.6%,1076,100101012,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,13,4,,7000,1,14,100013,伤害+184 攻击加成+12.6%,伤害+198 攻击加成+12.8%,1076,100101013,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,14,4,,8000,1,15,100014,伤害+198 攻击加成+12.8%,伤害+212 攻击加成+13%,1076,100101014,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,15,4,,9000,1,16,100015,伤害+212 攻击加成+13%,伤害+226 攻击加成+13.2%,1076,100101015,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,16,4,,10000,1,17,100016,伤害+226 攻击加成+13.2%,伤害+241 攻击加成+13.4%,1076,100101016,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,17,4,,11000,1,18,100017,伤害+241 攻击加成+13.4%,伤害+255 攻击加成+13.6%,1076,100101017,伤害+15#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,18,4,,12000,1,19,100018,伤害+255 攻击加成+13.6%,伤害+269 攻击加成+13.8%,1076,100101018,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,19,4,,13000,1,20,100019,伤害+269 攻击加成+13.8%,伤害+283 攻击加成+14%,1076,100101019,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,20,4,,14000,1,21,100020,伤害+283 攻击加成+14%,伤害+297 攻击加成+14.2%,1076,100101020,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,21,4,,15000,1,22,100021,伤害+297 攻击加成+14.2%,伤害+311 攻击加成+14.4%,1076,100101021,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,22,4,,16000,1,23,100022,伤害+311 攻击加成+14.4%,伤害+325 攻击加成+14.6%,1076,100101022,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,23,4,,17000,1,24,100023,伤害+325 攻击加成+14.6%,伤害+340 攻击加成+14.8%,1076,100101023,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,24,4,,18000,1,25,100024,伤害+340 攻击加成+14.8%,伤害+354 攻击加成+15%,1076,100101024,伤害+15#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,25,4,,19000,1,26,100025,伤害+354 攻击加成+15%,伤害+368 攻击加成+15.2%,1076,100101025,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,26,4,,20000,1,27,100026,伤害+368 攻击加成+15.2%,伤害+382 攻击加成+15.4%,1076,100101026,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,27,4,,21000,1,28,100027,伤害+382 攻击加成+15.4%,伤害+396 攻击加成+15.6%,1076,100101027,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,28,4,,22000,1,29,100028,伤害+396 攻击加成+15.6%,伤害+410 攻击加成+15.8%,1076,100101028,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,29,4,,23000,1,30,100029,伤害+410 攻击加成+15.8%,伤害+425 攻击加成+16%,1076,100101029,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,30,4,,24000,1,31,100030,伤害+425 攻击加成+16%,伤害+453 攻击加成+16.2%,1076,100101030,伤害+15#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,31,4,,26000,1,32,100031,伤害+453 攻击加成+16.2%,伤害+481 攻击加成+16.4%,1076,100101031,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,32,4,,28000,1,33,100032,伤害+481 攻击加成+16.4%,伤害+509 攻击加成+16.6%,1076,100101032,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,33,4,,30000,1,34,100033,伤害+509 攻击加成+16.6%,伤害+538 攻击加成+16.8%,1076,100101033,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,34,4,,32000,1,35,100034,伤害+538 攻击加成+16.8%,伤害+566 攻击加成+17%,1076,100101034,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,35,4,,34000,1,36,100035,伤害+566 攻击加成+17%,伤害+594 攻击加成+17.2%,1076,100101035,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,36,4,,36000,1,37,100036,伤害+594 攻击加成+17.2%,伤害+623 攻击加成+17.4%,1076,100101036,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,37,4,,38000,1,38,100037,伤害+623 攻击加成+17.4%,伤害+651 攻击加成+17.6%,1076,100101037,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,38,4,,40000,1,39,100038,伤害+651 攻击加成+17.6%,伤害+679 攻击加成+17.8%,1076,100101038,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,39,4,,42000,1,40,100039,伤害+679 攻击加成+17.8%,伤害+708 攻击加成+18%,1076,100101039,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,40,4,,44000,1,41,100040,伤害+708 攻击加成+18%,伤害+736 攻击加成+18.2%,1076,100101040,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,41,4,,46000,1,42,100041,伤害+736 攻击加成+18.2%,伤害+764 攻击加成+18.4%,1076,100101041,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,42,4,,48000,1,43,100042,伤害+764 攻击加成+18.4%,伤害+792 攻击加成+18.6%,1076,100101042,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,43,4,,50000,1,44,100043,伤害+792 攻击加成+18.6%,伤害+821 攻击加成+18.8%,1076,100101043,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,44,4,,52000,1,45,100044,伤害+821 攻击加成+18.8%,伤害+849 攻击加成+19%,1076,100101044,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,45,4,,54000,1,46,100045,伤害+849 攻击加成+19%,伤害+877 攻击加成+19.2%,1076,100101045,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,46,4,,56000,1,47,100046,伤害+877 攻击加成+19.2%,伤害+906 攻击加成+19.4%,1076,100101046,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,47,4,,58000,1,48,100047,伤害+906 攻击加成+19.4%,伤害+934 攻击加成+19.6%,1076,100101047,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,48,4,,60000,1,49,100048,伤害+934 攻击加成+19.6%,伤害+962 攻击加成+19.8%,1076,100101048,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,49,4,,62000,1,50,100049,伤害+962 攻击加成+19.8%,伤害+991 攻击加成+20%,1076,100101049,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,50,4,,64000,1,51,100050,伤害+991 攻击加成+20%,伤害+1019 攻击加成+20.2%,1076,100101050,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,51,4,,66000,1,52,100051,伤害+1019 攻击加成+20.2%,伤害+1047 攻击加成+20.4%,1076,100101051,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,52,4,,68000,1,53,100052,伤害+1047 攻击加成+20.4%,伤害+1075 攻击加成+20.6%,1076,100101052,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,53,4,,70000,1,54,100053,伤害+1075 攻击加成+20.6%,伤害+1104 攻击加成+20.8%,1076,100101053,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,54,4,,72000,1,55,100054,伤害+1104 攻击加成+20.8%,伤害+1132 攻击加成+21%,1076,100101054,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,55,4,,74000,1,56,100055,伤害+1132 攻击加成+21%,伤害+1160 攻击加成+21.2%,1076,100101055,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,56,4,,76000,1,57,100056,伤害+1160 攻击加成+21.2%,伤害+1189 攻击加成+21.4%,1076,100101056,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,57,4,,78000,1,58,100057,伤害+1189 攻击加成+21.4%,伤害+1217 攻击加成+21.6%,1076,100101057,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,58,4,,80000,1,59,100058,伤害+1217 攻击加成+21.6%,伤害+1245 攻击加成+21.8%,1076,100101058,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,59,4,,82000,1,60,100059,伤害+1245 攻击加成+21.8%,伤害+1274 攻击加成+22%,1076,100101059,伤害+28#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,60,4,,84000,1,61,100060,伤害+1274 攻击加成+22%,伤害+1344 攻击加成+22.2%,1076,100101060,伤害+29#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,61,4,,86000,1,62,100061,伤害+1344 攻击加成+22.2%,伤害+1415 攻击加成+22.4%,1076,100101061,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,62,4,,88000,1,63,100062,伤害+1415 攻击加成+22.4%,伤害+1486 攻击加成+22.6%,1076,100101062,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,63,4,,90000,1,64,100063,伤害+1486 攻击加成+22.6%,伤害+1557 攻击加成+22.8%,1076,100101063,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,64,4,,92000,1,65,100064,伤害+1557 攻击加成+22.8%,伤害+1627 攻击加成+23%,1076,100101064,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,65,4,,94000,1,66,100065,伤害+1627 攻击加成+23%,伤害+1698 攻击加成+23.2%,1076,100101065,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,66,4,,96000,1,67,100066,伤害+1698 攻击加成+23.2%,伤害+1769 攻击加成+23.4%,1076,100101066,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,67,4,,98000,1,68,100067,伤害+1769 攻击加成+23.4%,伤害+1840 攻击加成+23.6%,1076,100101067,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,68,4,,100000,1,69,100068,伤害+1840 攻击加成+23.6%,伤害+1910 攻击加成+23.8%,1076,100101068,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,69,4,,102000,1,70,100069,伤害+1910 攻击加成+23.8%,伤害+1981 攻击加成+24%,1076,100101069,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,70,4,,104000,1,71,100070,伤害+1981 攻击加成+24%,伤害+2052 攻击加成+24.2%,1076,100101070,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,71,4,,106000,1,72,100071,伤害+2052 攻击加成+24.2%,伤害+2123 攻击加成+24.4%,1076,100101071,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,72,4,,108000,1,73,100072,伤害+2123 攻击加成+24.4%,伤害+2193 攻击加成+24.6%,1076,100101072,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,73,4,,110000,1,74,100073,伤害+2193 攻击加成+24.6%,伤害+2264 攻击加成+24.8%,1076,100101073,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,74,4,,112000,1,75,100074,伤害+2264 攻击加成+24.8%,伤害+2335 攻击加成+25%,1076,100101074,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,75,4,,114000,1,76,100075,伤害+2335 攻击加成+25%,伤害+2406 攻击加成+25.2%,1076,100101075,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,76,4,,116000,1,77,100076,伤害+2406 攻击加成+25.2%,伤害+2476 攻击加成+25.4%,1076,100101076,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,77,4,,118000,1,78,100077,伤害+2476 攻击加成+25.4%,伤害+2547 攻击加成+25.6%,1076,100101077,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,78,4,,120000,1,79,100078,伤害+2547 攻击加成+25.6%,伤害+2618 攻击加成+25.8%,1076,100101078,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,79,4,,122000,1,80,100079,伤害+2618 攻击加成+25.8%,伤害+2689 攻击加成+26%,1076,100101079,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,80,4,,124000,1,81,100080,伤害+2689 攻击加成+26%,伤害+2759 攻击加成+26.2%,1076,100101080,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,81,4,,126000,1,82,100081,伤害+2759 攻击加成+26.2%,伤害+2830 攻击加成+26.4%,1076,100101081,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,82,4,,128000,1,83,100082,伤害+2830 攻击加成+26.4%,伤害+2901 攻击加成+26.6%,1076,100101082,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,83,4,,130000,1,84,100083,伤害+2901 攻击加成+26.6%,伤害+2972 攻击加成+26.8%,1076,100101083,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,84,4,,132000,1,85,100084,伤害+2972 攻击加成+26.8%,伤害+3042 攻击加成+27%,1076,100101084,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,85,4,,134000,1,86,100085,伤害+3042 攻击加成+27%,伤害+3113 攻击加成+27.2%,1076,100101085,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,86,4,,136000,1,87,100086,伤害+3113 攻击加成+27.2%,伤害+3184 攻击加成+27.4%,1076,100101086,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,87,4,,138000,1,88,100087,伤害+3184 攻击加成+27.4%,伤害+3255 攻击加成+27.6%,1076,100101087,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,88,4,,140000,1,89,100088,伤害+3255 攻击加成+27.6%,伤害+3325 攻击加成+27.8%,1076,100101088,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,89,4,,142000,1,90,100089,伤害+3325 攻击加成+27.8%,伤害+3396 攻击加成+28%,1076,100101089,伤害+70#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,90,4,,147000,1,91,100090,伤害+3396 攻击加成+28%,伤害+3566 攻击加成+28.2%,1076,100101090,伤害+71#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,91,4,,152000,1,92,100091,伤害+3566 攻击加成+28.2%,伤害+3736 攻击加成+28.4%,1076,100101091,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,92,4,,157000,1,93,100092,伤害+3736 攻击加成+28.4%,伤害+3905 攻击加成+28.6%,1076,100101092,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,93,4,,162000,1,94,100093,伤害+3905 攻击加成+28.6%,伤害+4075 攻击加成+28.8%,1076,100101093,伤害+169#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,94,4,,167000,1,95,100094,伤害+4075 攻击加成+28.8%,伤害+4245 攻击加成+29%,1076,100101094,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,95,4,,172000,1,96,100095,伤害+4245 攻击加成+29%,伤害+4415 攻击加成+29.2%,1076,100101095,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,96,4,,177000,1,97,100096,伤害+4415 攻击加成+29.2%,伤害+4585 攻击加成+29.4%,1076,100101096,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,97,4,,182000,1,98,100097,伤害+4585 攻击加成+29.4%,伤害+4754 攻击加成+29.6%,1076,100101097,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,98,4,,187000,1,99,100098,伤害+4754 攻击加成+29.6%,伤害+4924 攻击加成+29.8%,1076,100101098,伤害+169#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,99,4,,192000,1,100,100099,伤害+4924 攻击加成+29.8%,伤害+5094 攻击加成+30%,1076,100101099,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,100,4,,197000,1,101,100100,伤害+5094 攻击加成+30%,伤害+5264 攻击加成+30.2%,1076,100101100,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,101,4,,202000,1,102,100101,伤害+5264 攻击加成+30.2%,伤害+5434 攻击加成+30.4%,1076,100101101,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,102,4,,207000,1,103,100102,伤害+5434 攻击加成+30.4%,伤害+5603 攻击加成+30.6%,1076,100101102,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,103,4,,212000,1,104,100103,伤害+5603 攻击加成+30.6%,伤害+5773 攻击加成+30.8%,1076,100101103,伤害+169#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,104,4,,217000,1,105,100104,伤害+5773 攻击加成+30.8%,伤害+5943 攻击加成+31%,1076,100101104,伤害+170#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,105,4,,222000,1,106,100105,伤害+5943 攻击加成+31%,伤害+6113 攻击加成+31.2%,1076,100101105,伤害+170#攻击加成+0.2%
