##英雄基础配置,,,,,,,,"0男性,1女性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,名称,魂魄描述,召唤所需铜币,英雄魂魄物品ID,召唤所需魂魄,初始星级,初始品质,性别,生命,攻击,防御,命中,闪避,暴击,韧性,抵挡,破击,护甲,破甲,初始怒气,生命成长,攻击成长,防御成长,英雄描述,英雄头像,英雄形像1,英雄形像2,英雄职业,技能列表,天赋技能列表,动画名,动画缩放,英雄类型,初始技能,攻击能力,防御能力,生命能力,英雄定位,英雄特点
1025,林冲,林冲进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13025,30,1,1,0,143,43,18,0,150,10,150,0,0,10,0,50,3580,1030,450,东京人氏，原为东京八十万禁军枪棒教头。生得豹头环眼，燕颔虎须，身长八尺，人称“豹子头”。,1025,1025,0,,132#30#225,102501#102502#102503#102504,linchong,10000,4,30,62,84,63,输出,攻击横排
1026,王重阳,王重阳进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13026,80,2,1,0,150,49,25,0,150,10,150,0,0,10,0,50,3750,1230,630,原名中孚，道号重阳子，故称王重阳。道教全真派的始创人，后被尊为全真五祖之一。,1026,1026,0,,112#31#226,102601#102602#102603#102604,wangchongyang,10000,4,31,84,100,67,输出,群体攻击
1027,刘备,刘备进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13027,80,2,1,0,178,28,23,0,10,10,0,250,0,10,0,50,4450,700,580,字玄德，幽州涿郡涿县人，三国时期蜀汉开国皇帝，素以仁德为世人称赞，是三国时期著名的政治家。,1027,1027,0,,118#32#227,102701#102702#102703#102704,liubei,10000,5,32,54,90,80,肉盾,高抵挡
1028,成吉思汗,成吉思汗进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13028,30,1,1,0,169,30,24,0,10,10,0,250,0,10,0,50,4230,750,600,蒙古帝国可汗，尊号“成吉思汗”，意为“拥有海洋四方的大酋长”。世界史上杰出的政治家、军事家。,1028,1028,0,,130#33#228,102801#102802#102803#102804,chengjisihan,10000,5,33,55,95,75,肉盾,降护甲
1029,朱元璋,朱元璋进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13029,10,0,1,0,184,30,30,0,10,10,0,250,0,10,0,50,4600,750,630,俗称洪武帝、朱洪武。于应天府称帝，国号大明，结束了蒙元在中国的统治，建立了全国统一的封建政权。,1029,1029,0,,2#34#229,102901#102902#102903#102904,zhuyuanzhang,10000,5,34,55,95,75,肉盾,机率秒杀
1030,曹操,曹操进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13030,80,2,1,0,188,28,23,0,10,10,0,250,0,10,0,50,4700,700,580,字孟德，小字阿瞒，东汉末年著名政治家、军事家、文学家、书法家。三国中曹魏政权的主要缔造者。,1030,1030,0,,117#35#230,103001#103002#103003#103004,caocao,10000,5,35,54,90,83,肉盾,高闪避
1031,李世民,李世民进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13031,30,1,1,0,178,30,24,0,10,10,0,250,0,10,0,50,4450,750,600,唐太宗李世民，唐朝第二位皇帝，年号贞观。是唐朝杰出的军事家，率部平定了各路军阀，最终统一天下。,1031,1031,0,,131#36#231,103101#103102#103103#103104,lishimin,10000,5,36,55,95,80,肉盾,高免伤
1032,武则天,武则天进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13032,80,2,1,1,188,28,25,0,10,10,0,250,0,10,0,50,4700,700,630,中国历史上唯一得到普遍承认的女皇帝。退位以后，成为中国历史上唯一一位女性太上皇。,1032,1032,0,,133#37#232,103201#103202#103203#103204,wuzetian,10000,5,37,59,100,100,肉盾,强力辅助
1033,秦始皇,秦始皇进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13033,80,2,1,0,180,28,25,0,10,10,0,250,0,10,0,50,3750,700,630,中国历史上最伟大的政治家、军事家。秦始皇击败六国，创立皇帝制度，北击匈奴，南服百越，一统天下。,1033,1033,0,,2#38#233,103301#103302#103303#103304,qinshihuang,10000,5,38,59,100,92,肉盾,反弹伤害
1034,赵云,,,,10,,,0,216,33,19,0,10,10,0,0,0,10,0,100,4320,670,380,,1006,1006,0,,1#11,,zhaoyun,10000,1,11,63,100,77,肉盾,雅蠛蝶
1035,张良,,,,10,,,0,142,49,19,0,10,10,0,0,0,10,0,100,2840,970,380,,1012,1012,0,,109#17,,zhangliang,10000,2,17,92,100,51,肉盾,雅蠛蝶
1036,诸葛亮,,,,10,,,0,158,76,19,0,10,10,0,0,0,10,0,100,3150,1510,380,,1009,1009,0,,111#14,,zhugeliang,10000,2,14,90,100,56,肉盾,雅蠛蝶
1037,王重阳,,,,10,,,0,240,49,19,0,10,10,0,0,0,10,0,100,4800,970,380,,1026,1026,0,,112#31,,wangchongyang,10000,4,31,92,100,85,肉盾,雅蠛蝶
1038,甄缳,,,,10,,,1,228,44,19,0,10,10,0,0,0,10,0,100,4560,870,380,,1018,1018,0,,105#23,,zhenhuan,10000,3,23,82,100,81,肉盾,雅蠛蝶
