##,"0,1",,,,,,,,,,,,
ID,施法动作类型,施法特效类型,施法特效,聚气音效,施法音效,施法时间,子弹类型,子弹特效,子弹飞行速度,受击特效类型,受击特效,受击音效,屏幕特殊效果
41,0,0,,,,0,1,zhenhuanBul1,,,zhenhuanAim1,jian.wav,
42,0,0,,,,0,0,,,,xishiAim1,jian.wav,
43,0,0,,,,0,0,,,,zhenhuanAim1,jian.wav,
44,0,0,,,,0,1,direnjieBul1,,,direnjieAim1,faqiu.wav,
45,0,0,,,,0,1,zhangliangBul1,,,zhangliangAim1,faqiu.wav,
46,0,0,,,,0,1,shangyangBul1,,,shangyangAim1,faqiu.wav,
47,0,0,,,,0,1,zhugeliangBul1,,,zhugeliangAim1,faqiu.wav,
48,0,0,,,,0,1,wangchongyangBul1,,,wangchongyangAim1,jian.wav,
49,0,0,,juqi.wav,,0,1,wangchongyangBul1,,1,wangchongyangAim1,jian.wav,
50,0,0,,,,0,1,simayiBul1,,1,simayiAim1,faqiu.wav,
51,0,0,,,,0,0,,,1,tangbohuAim1,jian.wav,
52,0,0,,juqi.wav,,0,2,diexianBul,,,diaochanAim,faqiu.wav,
53,0,0,,juqi.wav,,0,1,gongjianshouBul2,,1,gongjianshouAim2,faqiu.wav,
54,0,0,,juqi.wav,,0,1,caocaoBul1,,1,caocaoAim1,faqiu.wav,
55,0,0,,juqi.wav,,0,1,liubeiBul1,,1,liubeiAim1,faqiu.wav,
56,0,0,,juqi.wav,,0,2,xiaolongnvBul,,1,xiaolongnvAim1,faqiu.wav,
57,0,0,,,,0,0,,,1,guanyuAim1,dao.wav,
58,0,0,,,,0,1,chengjisihanBul1,,,chengjisihanAim1,faqiu.wav,
59,0,0,,juqi.wav,,0,2,jiuweitianhuBul,,1,jiuweitianhuAim,faqiu.wav,
60,0,0,,,,0,1,lishiminBul1,,,lishiminAim1,jian.wav,
61,0,0,,,,0,1,linchongBul1,,,linchongAim1,jian.wav,
62,0,0,,juqi.wav,,0,2,qingluanBul,,1,qingluanAim,faqiu.wav,
63,0,0,,juqi.wav,,0,2,hanbaBul,,1,hanbaAim2,faqiu.wav,
64,0,0,,,,0,1,wuzetianBul1,,,wuzetianAim1,faqiu.wav,
65,0,0,,juqi.wav,,0,2,bingqinlinBul,,1,bingqinlinAim,faqiu.wav,
66,0,0,,juqi.wav,man2.wav,0,0,,,,guanyuAim2,dao.wav,
67,0,0,,juqi.wav,man2-2.wav,0,0,,,,,dao.wav,
68,0,0,,juqi.wav,man1.wav,0,1,cikeBul2,,,cikeAim2,jian.wav,
69,0,0,,juqi.wav,man2-2.wav,0,0,,,,,dao.wav,
70,0,0,,juqi.wav,man2.wav,0,1,wushiBul2,,,wushiAim2,faqiu.wav,
71,0,0,,juqi.wav,man2.wav,0,0,,,,,dao.wav,
72,0,0,,juqi.wav,man1.wav,0,0,,,,,jian.wav,
73,0,0,,juqi.wav,man1.wav,0,1,zhangliangBul2,,,zhangliangAim2,faqiu.wav,
74,0,0,,juqi.wav,man2-2.wav,0,0,,,,,dao.wav,
75,0,0,,,,0,1,wushiBul1,,,wushiAim1,faqiu.wav,
76,0,0,,,,0,1,zhuyuanzhangBul1,,,,dao.wav,
77,0,0,,,,0,1,qinshihuangBul1,,,qinshihuangAim1,jian.wav,
78,0,0,,juqi.wav,,0,0,,,,lingyuAim2,faqiu.wav,
79,0,0,,juqi.wav,,0,2,baihuBul,,,baihuAim,faqiu.wav,
80,0,0,,juqi.wav,,0,1,zhuqueBul,,,zhuqueAim,faqiu.wav,
81,0,0,,juqi.wav,,0,0,,,,diaochanAim,faqiu.wav,
82,0,0,,juqi.wav,,0,0,,,,lingyuAim1,faqiu.wav,
83,0,0,,juqi.wav,,0,0,,,,xiaolongnvAim1,faqiu.wav,
84,0,0,,juqi.wav,,0,0,,,,hanbaAim1,faqiu.wav,
85,0,0,,juqi.wav,,0,0,,,,jiuweitianhuAim1,faqiu.wav,
86,0,0,,juqi.wav,,0,0,,,,qingluanAim1,faqiu.wav,
87,0,0,,juqi.wav,,0,0,,,,baihuAim1,faqiu.wav,
88,0,0,,juqi.wav,,0,0,,,,zhuqueAim1,faqiu.wav,
89,0,0,,juqi.wav,,0,0,,,,bingqinlinAim1,faqiu.wav,
90,0,0,,juqi.wav,,0,0,,,,,faqiu.wav,
91,0,0,,juqi.wav,man2-2.wav,0,0,,,,,jian.wav,
92,0,0,,juqi.wav,man2-2.wav,0,1,lvbuBul3,,,caocaoAim1,jian.wav,
93,0,0,,juqi.wav,man2.wav,0,0,,,,,dao.wav,
94,0,0,,juqi.wav,man2-2.wav,0,0,,,,,jian.wav,
95,0,0,,juqi.wav,man2.wav,0,0,,,,guanyuAim1,dao.wav,
96,0,0,,juqi.wav,man1.wav,0,1,zhaoyunBul3,,,zhaoyunAim3,jian.wav,
97,0,0,,juqi.wav,man2.wav,0,0,,,,,dao.wav,
98,0,0,,juqi.wav,woman.wav,0,1,huamulanBul3,,,huamulanAim3,jian.wav,
99,0,0,,juqi.wav,man1.wav,0,2,zhugeliangBul3,,,,faqiu.wav,
100,0,0,,juqi.wav,man2.wav,0,0,,,,simayiAim3,faqiu.wav,
101,0,0,,juqi.wav,man1.wav,0,0,,,,shangyangAim3,faqiu.wav,
102,0,0,,juqi.wav,man1.wav,0,1,zhangliangBul3,,,zhangliangAim3,faqiu.wav,
103,0,0,,juqi.wav,man2.wav,0,1,direnjieBul3,,,direnjieAim3,faqiu.wav,
104,0,0,,juqi.wav,woman.wav,0,1,shangguanBul3,,,shangguanAim3,faqiu.wav,
105,0,0,,juqi.wav,man1.wav,0,1,jingkeBul3,,,jingkeAim3,faqiu.wav,
106,0,0,,juqi.wav,woman.wav,0,0,,,,,dao.wav,
107,0,0,,juqi.wav,woman.wav,0,1,diaocanBul3,,,diaocanAim3,faqiu.wav,
108,0,0,,juqi.wav,woman.wav,0,1,zhenhuanBul3,,,zhenhuanAim3,dao.wav,
109,0,0,,juqi.wav,woman.wav,0,1,xiaoqiaoBul3,,,xiaoqiaoAim3,jian.wav,
110,0,0,,juqi.wav,man1.wav,0,1,ximenqingBul3,,,ximenqingAim3,faqiu.wav,
111,0,0,,juqi.wav,man2.wav,0,1,zhangsfBul3,,,zhangsfAim3,jian.wav,
112,0,0,,juqi.wav,man1.wav,0,1,lvdongbinBul3,,,lvdongbinAim3,jian.wav,
113,0,0,,juqi.wav,man2.wav,0,1,caocaoBul1,,,caocaoAim1,jian.wav,
114,0,0,,juqi.wav,man1.wav,0,1,tangbohuBul3,,,tangbohuAim3,faqiu.wav,
115,0,0,,juqi.wav,man1.wav,0,2,linchongBul3,,,linchongAim3,jian.wav,
116,0,0,,juqi.wav,man1.wav,0,1,wangchongyangBul3,,,wangchongyangAim3,jian.wav,
117,0,0,,juqi.wav,man2-2.wav,0,1,liubeiBul3,,,liubeiAim3,faqiu.wav,
118,0,0,,juqi.wav,man2-2.wav,0,1,chengjisihanBul3,,,chengjisihanAim3,jian.wav,
119,0,0,,juqi.wav,man2-2.wav,0,1,zhuyuanzhangBul3,,,zhuyuanzhangAim3,faqiu.wav,
120,0,0,,juqi.wav,man2-2.wav,0,0,,,,,jian.wav,
121,0,0,,juqi.wav,man1.wav,0,1,lishiminBul3,,,lishiminAim3,jian.wav,
122,0,0,,juqi.wav,woman.wav,0,1,wuzetianBul3,,,wuzetianAim3,faqiu.wav,
123,0,0,,juqi.wav,man2-2.wav,0,0,,,,qinshihuangAim3,faqiu.wav,
124,0,0,,,,0,0,,,,,dao.wav,
125,0,0,,,,0,0,,,,,dao.wav,
