##这是一个注释,不读,,,,,,
效果ID,描述,统一目标,效果1,效果2,效果3,效果4,效果5
49,,,,多重伤害#1#9000#0#3,,,
50,,,,执行伤害#6#28000#0,,,
51,,1,,执行伤害#6#23000#0,添加状态#6#8#5000,,
52,,1,,执行伤害#6#23000#0,添加状态#6#15#5000,,
53,,1,,执行伤害#1#20000#0,按参考属性改变属性#1#HP#-2000#0#生命上限,,
54,,,,女性多倍伤害#1#28000#0#10000,,,
55,,,,执行伤害#1#26000#0,添加状态#9#31#10000,,
56,,,,多重伤害#1#10000#0#3,,,
57,,1,,执行伤害#1#18000#0,添加状态#1#17#4000,,
58,,,添加状态#1#18#10000,执行伤害#1#14000#0,添加状态#9#19#10000,添加状态#9#47#10000,
59,,1,,执行伤害#4#17000#0,添加状态#4#12#4000,,
60,,,,执行伤害#3#14000#0,,,
61,,,,执行伤害#1#20000#0,添加状态#9#45#10000,,
62,,1,,执行伤害#1#20000#0,添加状态#1#32#10000,,
63,,1,,执行伤害#1#20000#0,低血条件死亡#1#3000#4000,,
64,,,,执行伤害#1#20000#0,添加状态#9#31#10000,,
65,,,,执行伤害#1#20000#0,添加状态#9#33#10000,,
66,,,,改变属性#2#怒气#0#50,按自身参考属性改变属性#2#HP#20000#0#攻击,,
67,,,,执行伤害#1#20000#0,添加状态#9#34#10000,,
68,,,添加状态#9#1#10000,,,,
69,,,添加状态#9#2#10000,,,,
70,,,添加状态#9#3#10000,,,,
71,,,添加状态#9#4#10000,,,,
72,,,添加状态#9#5#10000,,,,
73,,,添加状态#9#35#10000,,,,
74,,,执行伤害#1#20000#0,,,,
75,,,执行伤害#1#13000#0,添加状态#9#6#10000,,,
76,,,添加状态#9#48#10000,,,,
77,,,添加状态#9#49#10000,,,,
78,,,添加状态#9#50#10000,,,,
79,,,添加状态#9#51#10000,,,,
80,,,添加状态#9#52#10000,,,,
81,,,添加状态#9#53#10000,,,,
82,,,添加状态#9#54#10000,,,,
83,,,添加状态#9#55#10000,,,,
84,,,添加状态#9#56#10000,,,,
85,,,添加状态#9#57#10000,,,,
86,,,添加状态#9#58#10000,,,,
87,,,添加状态#9#59#10000,,,,
88,,,添加状态#9#60#10000,,,,
89,,,添加状态#9#61#10000,,,,
90,,,添加状态#9#62#10000,,,,
91,,,添加状态#9#63#10000,,,,
92,,,添加状态#9#64#10000,,,,
93,,,添加状态#9#65#10000,,,,
94,,,添加状态#9#66#10000,,,,
95,,,添加状态#9#67#10000,,,,
96,,,添加状态#9#68#10000,,,,
97,,,添加状态#9#69#10000,,,,
98,,,添加状态#9#70#10000,,,,
99,,,添加状态#9#71#10000,,,,
100,,,添加状态#9#72#10000,,,,
101,,,添加状态#9#73#10000,,,,
102,,,添加状态#9#74#10000,,,,
103,,,添加状态#9#75#10000,,,,
104,,,添加状态#9#76#10000,,,,
105,,,添加状态#9#77#10000,,,,
106,,,添加状态#9#78#10000,,,,
107,,,添加状态#9#79#10000,,,,
108,,,添加状态#9#80#10000,,,,
109,,,添加状态#9#81#10000,,,,
201,傲视群雄,,执行伤害#10#10000#0,,,,
202,火力全开,,执行伤害并加状态#5#12000#0#92#10000,,,,
203,三十六计,,添加状态#2#82#10000,,,,
204,一飞冲天,,执行伤害并加状态#4#12000#100#12#10000,,,,
205,大杀四方,,执行伤害#10#10000#0,,,,
206,冲锋陷阵,,低血多倍伤害#4#12000#0#3000#10000,,,,
207,横扫千军,,执行伤害#10#10000#0,,,,
208,落花流水,1,低血多倍伤害#1#12000#0#5000#5000,添加状态#1#12#5000,,,
209,翻云覆雨,,执行伤害#11#7000#0,,,,
210,雷霆万钧,,执行伤害#8#8000#0,执行伤害#8#12000#0,,,
211,偷天换日,,,按自身参考属性改变属性#2#HP#5000#0#攻击,,,
212,冰封万里,,执行伤害并加状态#5#8000#0#12#5000,,,,
213,事不过三,,执行伤害并加状态#3#5000#0#21#10000,,,,
214,移花接木,,执行伤害#8#10000#0,按参考属性改变属性#8#HP#-5000#0#攻击,,,
215,暗影潜伏,,执行伤害#8#11000#0,添加状态#9#83#10000,,,
216,生命转换,,执行伤害并吸血#1#12000#0#10000,,,,
217,魅惑众生,,执行伤害并加状态#4#10000#0#8#10000,,,,
218,奋力一击,,执行伤害#12#15000#0,添加状态#9#96#10000,,,
219,貌若天仙,1,执行伤害#13#10000#0,按参考属性改变属性#13#HP#-2000#0#HP,,,
220,风花雪月,1,女性多倍伤害#14#10000#0#12000,,,,
221,九转玄功,,执行伤害并吸血#1#12000#0#10000,,,,
222,上真剑法,,执行伤害#1#12000#0,添加状态#9#90#5000,,,
223,惊天一剑,1,低血条件死亡#1#3000#5000,执行伤害#1#12000#0,,,
224,神来之笔,,执行伤害并加状态#8#12000#0#84#10000,,,,
225,千军万马,,执行伤害#3#10000#0,,,,
226,万剑齐发,,执行伤害并加状态#8#9000#0#12#5000,执行伤害并加状态#8#9000#0#12#5000,执行伤害并加状态#8#9000#0#12#5000,,
227,韬光养晦,,执行伤害#1#12000#0,添加状态#9#85#10000,,,
228,鹰击长空,,执行伤害#5#12000#0,,,,
229,一言九鼎,,执行伤害并加状态#1#12000#0#86#10000,,,,
230,锋芒毕露,,执行伤害并加状态#1#12000#0#87#10000,添加状态#9#88#10000,,,
231,天之骄子,,执行伤害#1#12000#0,添加状态#9#89#10000,,,
232,花好月圆,,执行伤害#1#12000#0,添加状态#9#90#10000,,,
233,藐视众生,,执行伤害并加状态#1#11000#0#91#10000,,,,
1001,神将加破甲,,改变属性#9#破甲加值#0#100,,,,
1002,谋士加暴击,,改变属性#9#暴击加值#0#50,,,,
1003,刺客加暴击,,改变属性#9#暴击加值#0#80,,,,
1004,豪侠加闪避,,改变属性#9#闪避附加值#0#50,,,,
1005,皇者加抵挡,,改变属性#9#抵挡加值#0#100,,,,
1006,神将绝技破甲1,,改变属性#9#破甲加值#0#150,,,,
1007,神将绝技破甲2,,改变属性#9#破甲加值#0#300,,,,
1008,神将绝技暴击1,,改变属性#9#暴击加值#0#50,,,,
1009,神将绝技抵挡1,,改变属性#9#抵挡加值#0#200,,,,
1010,混乱,,改变属性#9#混乱#0#1,,,,
1011,攻击变纵向,,改变属性#9#普攻目标选择#0#5,,,,
1012,攻击变横向,,改变属性#9#普攻目标选择#0#4,,,,
1013,吸血效果,,,,,,
1014,晕眩,,改变属性#9#眩晕#0#1,,,,
1015,清除增益1,,按类型随机删除Buff#9#0,,,,
1016,降怒气（司马）,,改变属性#9#怒气#0#-50,,,,
1017,绝技加闪避1,,改变属性#9#闪避附加值#0#250,,,,
1018,绝技加闪避2,,改变属性#9#闪避附加值#0#350,,,,
1019,李白降生命,,按参考属性改变属性#9#HP#-5000#0#HP,,,,
1020,加怒气（唐伯虎）,,改变属性#9#怒气#0#50,,,,
1021,皇者绝技抵挡1,,改变属性#9#抵挡加值#0#200,,,,
1022,降护甲1（成吉思汗）,,改变属性#9#护甲加值#0#-300,,,,
1023,降护甲2（成吉思汗）,,改变属性#9#护甲加值#0#-600,,,,
1024,死亡,,,,,,
1025,加护甲1（李世民）,,改变属性#9#护甲加值#0#500,,,,
1026,加护甲2（李世民）,,改变属性#9#护甲加值#0#600,,,,
1027,反弹1,,反弹伤害#3000,,,,
1028,反弹2,,反弹伤害#8000,,,,
1029,降怒气（甄缳）,,改变属性#9#怒气#0#-100,,,,
1030,,,复活#1,,,,
1031,,,改变属性#9#破甲加值#0#300,,,,
1032,,,改变属性#9#破甲加值#0#300,,,,
1033,仙灵附体,,改变属性#9#初始怒气加值#0#50,,,,
1034,孙武小招闪避,,改变属性#9#闪避附加值#0#100,,,,
1035,荆轲小招免疫伤害,,改变属性#9#免疫所有伤害#0#1,,,,
1036,唐伯虎小招降怒气,,改变属性#9#怒气#-5000#0,,,,
1037,刘备小招加防御,,改变属性#9#防御加成万分比#2000#0,,,,
1038,朱元璋小招降攻击,,改变属性#9#攻击提高万分比#-2000#0,,,,
1039,曹操小招加免伤,,改变属性#9#护甲加值#0#300,,,,
1040,曹操小招增加自身攻击,,改变属性#9#攻击提高万分比#1000#0,,,,
1041,,,改变属性#9#护甲加值#0#-200,,,,
1042,,,改变属性#9#护甲加值#0#-400,,,,
1043,,,改变属性#9#暴击加值#0#150,,,,
1044,,,改变属性#9#抵挡加值#0#210,,,,
1045,,,改变属性#9#抵挡加值#0#300,,,,
1046,,,改变属性#9#破甲加值#0#50,,,,
1047,,,改变属性#9#破击加值#0#20,,,,
1048,,,改变属性#9#命中附加值#0#20,,,,
1049,,,改变属性#9#抵挡加值#0#30,,,,
1050,,,改变属性#9#破击加值#0#20,,,,
1051,,,改变属性#9#暴击加值#0#20,,,,
1052,,,改变属性#9#攻击提高万分比#0#50,,,,
1053,,,改变属性#9#命中附加值#0#20,,,,
1054,,,改变属性#9#暴击加值#0#20,,,,
1055,,,改变属性#9#暴击加值#0#20,,,,
1056,,,改变属性#9#命中附加值#0#20,,,,
1057,,,改变属性#9#暴击加值#0#20,,,,
1058,,,改变属性#9#命中附加值#0#20,,,,
1059,,,改变属性#9#暴击加值#0#20,,,,
1060,,,改变属性#9#暴击加值#0#20,,,,
1061,,,改变属性#9#命中附加值#0#20,,,,
1062,,,改变属性#9#命中附加值#0#20,,,,
1063,,,改变属性#9#暴击加值#0#20,,,,
1064,,,改变属性#9#破击加值#0#20,,,,
1065,,,改变属性#9#暴击加值#0#20,,,,
1066,,,改变属性#9#闪避附加值#0#20,,,,
1067,,,改变属性#9#命中附加值#0#20,,,,
1068,,,改变属性#9#命中附加值#0#20,,,,
1069,,,改变属性#9#破击加值#0#20,,,,
1070,,,改变属性#9#暴击加值#0#20,,,,
1071,,,改变属性#9#暴击加值#0#20,,,,
1072,,,改变属性#9#抵挡加值#0#30,,,,
1073,,,改变属性#9#抵挡加值#0#30,,,,
1074,,,改变属性#9#抵挡加值#0#30,,,,
1075,,,改变属性#9#闪避附加值#0#20,,,,
1076,,,改变属性#9#抵挡加值#0#30,,,,
1077,,,改变属性#9#抵挡加值#0#30,,,,
1078,,,改变属性#9#生命上限提高万分比#0#100,,,,
1079,李世民反弹伤害,,反弹伤害#5000,,,,
1080,双倍怒气,,改变属性#9#怒气#0#25,,,,
1081,秦始皇小招虚弱,,改变属性#9#攻击提高万分比#-2000#0,,,,
1082,吕布小招降低护甲,,改变属性#9#护甲加值#2000#0,,,,
1083,七星灯,,按自身参考属性改变属性#9#HP#10000#0#生命上限,,,,
1084,无敌,,改变属性#9#免疫所有伤害#0#1,,,,
1085,添加无敌状态,,添加状态#9#94#10000,,,,
1086,自爆表现,,自爆表现,,,,
1087,免疫减益效果,,免疫状态类型#1#2#3,,,,
1088,,,改变属性#9#破甲加值#-5000#0,,,,
1089,唐伯虎大招降怒气,,改变属性#9#怒气#0#-75,,,,
1090,唐伯虎大招加怒气,,改变属性#9#怒气#0#75,,,,
1501,,,按自身参考属性改变属性#9#生命上限加值#600#0#生命上限,按自身参考属性改变属性#9#攻击加值#600#0#攻击,,,
1502,,,按自身参考属性改变属性#9#生命上限加值#700#0#生命上限,按自身参考属性改变属性#9#攻击加值#700#0#攻击,,,
1503,,,按自身参考属性改变属性#9#生命上限加值#800#0#生命上限,按自身参考属性改变属性#9#攻击加值#800#0#攻击,,,
1504,,,按自身参考属性改变属性#9#生命上限加值#900#0#生命上限,按自身参考属性改变属性#9#攻击加值#900#0#攻击,,,
1505,,,按自身参考属性改变属性#9#生命上限加值#1000#0#生命上限,按自身参考属性改变属性#9#攻击加值#1000#0#攻击,,,
1506,,,按自身参考属性改变属性#9#生命上限加值#1100#0#生命上限,按自身参考属性改变属性#9#攻击加值#1100#0#攻击,,,
1507,,,按自身参考属性改变属性#9#生命上限加值#1200#0#生命上限,按自身参考属性改变属性#9#攻击加值#1200#0#攻击,,,
1508,,,按自身参考属性改变属性#9#生命上限加值#1300#0#生命上限,按自身参考属性改变属性#9#攻击加值#1300#0#攻击,,,
1509,,,按自身参考属性改变属性#9#生命上限加值#1400#0#生命上限,按自身参考属性改变属性#9#攻击加值#1400#0#攻击,,,
1510,,,按自身参考属性改变属性#9#生命上限加值#1500#0#生命上限,按自身参考属性改变属性#9#攻击加值#1500#0#攻击,,,
1511,,,按自身参考属性改变属性#9#生命上限加值#1600#0#生命上限,按自身参考属性改变属性#9#攻击加值#1600#0#攻击,,,
1512,,,按自身参考属性改变属性#9#生命上限加值#1700#0#生命上限,按自身参考属性改变属性#9#攻击加值#1700#0#攻击,,,
1513,,,按自身参考属性改变属性#9#生命上限加值#1800#0#生命上限,按自身参考属性改变属性#9#攻击加值#1800#0#攻击,,,
1514,,,按自身参考属性改变属性#9#生命上限加值#1900#0#生命上限,按自身参考属性改变属性#9#攻击加值#1900#0#攻击,,,
1515,,,按自身参考属性改变属性#9#生命上限加值#2000#0#生命上限,按自身参考属性改变属性#9#攻击加值#2000#0#攻击,,,
1516,,,按自身参考属性改变属性#9#生命上限加值#2100#0#生命上限,按自身参考属性改变属性#9#攻击加值#2100#0#攻击,,,
1517,,,按自身参考属性改变属性#9#生命上限加值#2200#0#生命上限,按自身参考属性改变属性#9#攻击加值#2200#0#攻击,,,
1518,,,按自身参考属性改变属性#9#生命上限加值#2300#0#生命上限,按自身参考属性改变属性#9#攻击加值#2300#0#攻击,,,
1519,,,按自身参考属性改变属性#9#生命上限加值#2400#0#生命上限,按自身参考属性改变属性#9#攻击加值#2400#0#攻击,,,
1520,,,按自身参考属性改变属性#9#生命上限加值#2500#0#生命上限,按自身参考属性改变属性#9#攻击加值#2500#0#攻击,,,
1521,,,按自身参考属性改变属性#9#生命上限加值#2600#0#生命上限,按自身参考属性改变属性#9#攻击加值#2600#0#攻击,,,
1522,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#1830#0#生命上限,按自身参考属性改变属性#9#攻击加值#1830#0#攻击,,,
1523,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#1860#0#生命上限,按自身参考属性改变属性#9#攻击加值#1860#0#攻击,,,
1524,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#1890#0#生命上限,按自身参考属性改变属性#9#攻击加值#1890#0#攻击,,,
1525,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#1920#0#生命上限,按自身参考属性改变属性#9#攻击加值#1920#0#攻击,,,
1526,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#1950#0#生命上限,按自身参考属性改变属性#9#攻击加值#1950#0#攻击,,,
1527,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#1980#0#生命上限,按自身参考属性改变属性#9#攻击加值#1980#0#攻击,,,
1528,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2010#0#生命上限,按自身参考属性改变属性#9#攻击加值#2010#0#攻击,,,
1529,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2040#0#生命上限,按自身参考属性改变属性#9#攻击加值#2040#0#攻击,,,
1530,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2070#0#生命上限,按自身参考属性改变属性#9#攻击加值#2070#0#攻击,,,
1531,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2400#0#生命上限,按自身参考属性改变属性#9#攻击加值#2400#0#攻击,,,
1532,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2430#0#生命上限,按自身参考属性改变属性#9#攻击加值#2430#0#攻击,,,
1533,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2460#0#生命上限,按自身参考属性改变属性#9#攻击加值#2460#0#攻击,,,
1534,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2490#0#生命上限,按自身参考属性改变属性#9#攻击加值#2490#0#攻击,,,
1535,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2520#0#生命上限,按自身参考属性改变属性#9#攻击加值#2520#0#攻击,,,
1536,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2550#0#生命上限,按自身参考属性改变属性#9#攻击加值#2550#0#攻击,,,
1537,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2580#0#生命上限,按自身参考属性改变属性#9#攻击加值#2580#0#攻击,,,
1538,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2610#0#生命上限,按自身参考属性改变属性#9#攻击加值#2610#0#攻击,,,
1539,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2640#0#生命上限,按自身参考属性改变属性#9#攻击加值#2640#0#攻击,,,
1540,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#2670#0#生命上限,按自身参考属性改变属性#9#攻击加值#2670#0#攻击,,,
1541,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3000#0#生命上限,按自身参考属性改变属性#9#攻击加值#3000#0#攻击,,,
1542,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3030#0#生命上限,按自身参考属性改变属性#9#攻击加值#3030#0#攻击,,,
1543,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3060#0#生命上限,按自身参考属性改变属性#9#攻击加值#3060#0#攻击,,,
1544,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3090#0#生命上限,按自身参考属性改变属性#9#攻击加值#3090#0#攻击,,,
1545,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3120#0#生命上限,按自身参考属性改变属性#9#攻击加值#3120#0#攻击,,,
1546,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3150#0#生命上限,按自身参考属性改变属性#9#攻击加值#3150#0#攻击,,,
1547,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3180#0#生命上限,按自身参考属性改变属性#9#攻击加值#3180#0#攻击,,,
1548,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3210#0#生命上限,按自身参考属性改变属性#9#攻击加值#3210#0#攻击,,,
1549,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3240#0#生命上限,按自身参考属性改变属性#9#攻击加值#3240#0#攻击,,,
1550,暂时废弃,,按自身参考属性改变属性#9#生命上限加值#3270#0#生命上限,按自身参考属性改变属性#9#攻击加值#3270#0#攻击,,,
2001,,,添加状态#2#1001#10000,,,,
2002,,,添加状态#2#1002#10000,,,,
2003,,,添加状态#2#1003#10000,,,,
2004,,,添加状态#2#1004#10000,,,,
2005,,,添加状态#2#1005#10000,,,,
2006,,,添加状态#2#1006#10000,,,,
2007,,,添加状态#2#1007#10000,,,,
2008,,,添加状态#2#1008#10000,,,,
2009,,,添加状态#2#1009#10000,,,,
2010,,,添加状态#2#1010#10000,,,,
2011,,,添加状态#2#1011#10000,,,,
2012,,,添加状态#2#1012#10000,,,,
2013,,,添加状态#2#1013#10000,,,,
2014,,,添加状态#2#1014#10000,,,,
2015,,,添加状态#2#1015#10000,,,,
2016,,,添加状态#2#1016#10000,,,,
2017,,,添加状态#2#1017#10000,,,,
2018,,,添加状态#2#1018#10000,,,,
2019,,,添加状态#2#1019#10000,,,,
2020,,,添加状态#2#1020#10000,,,,
2021,,,添加状态#2#1021#10000,,,,
2022,暂时废弃,,添加状态#2#1022#10000,,,,
2023,暂时废弃,,添加状态#2#1023#10000,,,,
2024,暂时废弃,,添加状态#2#1024#10000,,,,
2025,暂时废弃,,添加状态#2#1025#10000,,,,
2026,暂时废弃,,添加状态#2#1026#10000,,,,
2027,暂时废弃,,添加状态#2#1027#10000,,,,
2028,暂时废弃,,添加状态#2#1028#10000,,,,
2029,暂时废弃,,添加状态#2#1029#10000,,,,
2030,暂时废弃,,添加状态#2#1030#10000,,,,
2031,暂时废弃,,添加状态#2#1031#10000,,,,
2032,暂时废弃,,添加状态#2#1032#10000,,,,
2033,暂时废弃,,添加状态#2#1033#10000,,,,
2034,暂时废弃,,添加状态#2#1034#10000,,,,
2035,暂时废弃,,添加状态#2#1035#10000,,,,
2036,暂时废弃,,添加状态#2#1036#10000,,,,
2037,暂时废弃,,添加状态#2#1037#10000,,,,
2038,暂时废弃,,添加状态#2#1038#10000,,,,
2039,暂时废弃,,添加状态#2#1039#10000,,,,
2040,暂时废弃,,添加状态#2#1040#10000,,,,
2041,暂时废弃,,添加状态#2#1041#10000,,,,
2042,暂时废弃,,添加状态#2#1042#10000,,,,
2043,暂时废弃,,添加状态#2#1043#10000,,,,
2044,暂时废弃,,添加状态#2#1044#10000,,,,
2045,暂时废弃,,添加状态#2#1045#10000,,,,
2046,暂时废弃,,添加状态#2#1046#10000,,,,
2047,暂时废弃,,添加状态#2#1047#10000,,,,
2048,暂时废弃,,添加状态#2#1048#10000,,,,
2049,暂时废弃,,添加状态#2#1049#10000,,,,
2050,暂时废弃,,添加状态#2#1050#10000,,,,
2051,,,执行伤害#3#11000#100,,,,
2052,,,执行伤害#3#11400#200,,,,
2053,,,执行伤害#3#11800#300,,,,
2054,,,执行伤害#3#12200#400,,,,
2055,,,执行伤害#3#12600#500,,,,
2056,,,执行伤害#3#13000#600,,,,
2057,,,执行伤害#3#13400#700,,,,
2058,,,执行伤害#3#13800#800,,,,
2059,,,执行伤害#3#14200#900,,,,
2060,,,执行伤害#3#14600#1000,,,,
2061,,,执行伤害#3#15000#1100,,,,
2062,,,执行伤害#3#15400#1200,,,,
2063,,,执行伤害#3#15800#1300,,,,
2064,,,执行伤害#3#16200#1400,,,,
2065,,,执行伤害#3#16600#1500,,,,
2066,,,执行伤害#3#17000#1600,,,,
2067,,,执行伤害#3#17400#1700,,,,
2068,,,执行伤害#3#17800#1800,,,,
2069,,,执行伤害#3#18200#1900,,,,
2070,,,执行伤害#3#18600#2000,,,,
2071,,,执行伤害#3#19000#2100,,,,
2072,,,执行伤害#3#15100#2200,,,,
2073,,,执行伤害#3#15200#2300,,,,
2074,,,执行伤害#3#15300#2400,,,,
2075,,,执行伤害#3#15400#2500,,,,
2076,,,执行伤害#3#15500#2600,,,,
2077,,,执行伤害#3#15600#2700,,,,
2078,,,执行伤害#3#15700#2800,,,,
2079,,,执行伤害#3#15800#2900,,,,
2080,,,执行伤害#3#15900#3000,,,,
2081,,,执行伤害#3#17000#3100,,,,
2082,,,执行伤害#3#17100#3200,,,,
2083,,,执行伤害#3#17200#3300,,,,
2084,,,执行伤害#3#17300#3400,,,,
2085,,,执行伤害#3#17400#3500,,,,
2086,,,执行伤害#3#17500#3600,,,,
2087,,,执行伤害#3#17600#3700,,,,
2088,,,执行伤害#3#17700#3800,,,,
2089,,,执行伤害#3#17800#3900,,,,
2090,,,执行伤害#3#17900#4000,,,,
2091,,,执行伤害#3#19000#4100,,,,
2092,,,执行伤害#3#19100#4200,,,,
2093,,,执行伤害#3#19200#4300,,,,
2094,,,执行伤害#3#19300#4400,,,,
2095,,,执行伤害#3#19400#4500,,,,
2096,,,执行伤害#3#19500#4600,,,,
2097,,,执行伤害#3#19600#4700,,,,
2098,,,执行伤害#3#19700#4800,,,,
2099,,,执行伤害#3#19800#4900,,,,
2100,,,执行伤害#3#19900#5000,,,,
2101,,,执行伤害#3#11000#100,添加状态#1#43#1500,,,
2102,,,执行伤害#3#11400#200,添加状态#1#43#1500,,,
2103,,,执行伤害#3#11800#300,添加状态#1#43#1500,,,
2104,,,执行伤害#3#12200#400,添加状态#1#43#1500,,,
2105,,,执行伤害#3#12600#500,添加状态#1#43#1500,,,
2106,,,执行伤害#3#13000#600,添加状态#1#43#1500,,,
2107,,,执行伤害#3#13400#700,添加状态#1#43#1500,,,
2108,,,执行伤害#3#13800#800,添加状态#1#43#1500,,,
2109,,,执行伤害#3#14200#900,添加状态#1#43#1500,,,
2110,,,执行伤害#3#14600#1000,添加状态#1#43#1500,,,
2111,,,执行伤害#3#15000#1100,添加状态#1#43#1500,,,
2112,,,执行伤害#3#15400#1200,添加状态#1#43#1500,,,
2113,,,执行伤害#3#15800#1300,添加状态#1#43#1500,,,
2114,,,执行伤害#3#16200#1400,添加状态#1#43#1500,,,
2115,,,执行伤害#3#16600#1500,添加状态#1#43#1500,,,
2116,,,执行伤害#3#17000#1600,添加状态#1#43#1500,,,
2117,,,执行伤害#3#17400#1700,添加状态#1#43#1500,,,
2118,,,执行伤害#3#17800#1800,添加状态#1#43#1500,,,
2119,,,执行伤害#3#18200#1900,添加状态#1#43#1500,,,
2120,,,执行伤害#3#18600#2000,添加状态#1#43#1500,,,
2121,,,执行伤害#3#19000#2100,添加状态#1#43#1500,,,
2122,,,执行伤害#3#15100#2200,添加状态#1#43#1500,,,
2123,,,执行伤害#3#15200#2300,添加状态#1#43#1500,,,
2124,,,执行伤害#3#15300#2400,添加状态#1#43#1500,,,
2125,,,执行伤害#3#15400#2500,添加状态#1#43#1500,,,
2126,,,执行伤害#3#15500#2600,添加状态#1#43#1500,,,
